"CO=HC, H=3",,\rho=50,,,,\rho=75,,,,\rho=100,,,,\rho=300,,,
Instance,K,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST
5n40_1,2,10725.0,11107.6,38.0,26.0,10725.0,11105.4,40.0,28.0,10723.3,11168.1,35.0,23.0,10725.0,11031.2,39.0,26.0
5n40_2,3,11194.9,11606.5,63.0,49.0,11192.7,11715.6,37.0,24.0,11168.1,11509.0,68.0,53.0,11192.2,11253.1,58.0,44.0
5n40_3,4,11568.5,11684.7,59.0,39.0,11568.5,11592.0,42.0,25.0,11566.5,11906.9,44.0,26.0,11568.5,11586.3,55.0,38.0
5n40_4,5,11975.5,12245.0,50.0,27.0,11863.3,12318.9,88.0,65.0,11871.3,12242.7,93.0,71.0,11932.9,12127.9,48.0,26.0
5n45_1,2,11031.5,11205.4,41.0,30.0,11031.5,11255.2,38.0,24.0,11031.5,11136.9,41.0,27.0,11031.5,11198.9,27.0,13.0
5n45_2,3,11250.3,11462.7,36.0,19.0,11250.3,11423.2,44.0,26.0,11250.6,11385.5,49.0,33.0,11250.6,11258.4,41.0,25.0
5n45_3,4,11534.7,11685.5,72.0,51.0,11534.7,11633.6,79.0,55.0,11534.7,11772.9,52.0,30.0,11534.7,11715.1,60.0,40.0
5n45_4,5,11725.2,11885.4,60.0,31.0,11725.2,12031.0,70.0,44.0,11725.2,11793.4,86.0,56.0,11725.2,11857.0,59.0,33.0
5n50_1,2,12818.3,13430.6,52.0,37.0,12818.3,13402.4,51.0,33.0,12818.2,13452.2,60.0,41.0,12818.3,13199.6,56.0,39.0
5n50_2,3,13326.3,14169.4,54.0,32.0,13326.3,13581.7,59.0,39.0,13327.7,13807.5,59.0,39.0,13332.6,13608.5,43.0,22.0
5n50_3,4,13992.5,14753.6,50.0,25.0,13984.9,14554.0,61.0,35.0,13988.7,14436.2,56.0,33.0,13985.1,14434.1,54.0,30.0
5n50_4,5,14486.9,15081.6,64.0,37.0,14487.1,14825.1,103.0,73.0,14486.2,14808.5,117.0,89.0,14487.2,15073.6,55.0,27.0
