"CO=HC, H=3",,\rho=50,,,,\rho=75,,,,\rho=100,,,,\rho=300,,,
Instance,K,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST
2n10_3,4,5753.4,5864.2,8.0,1.0,5784.65,5814.25,9.0,1.0,5815.9,5855.5,8.0,0.0,5896.77,5896.77,15.0,6.0
2n10_4,5,6304.28,6304.28,10.0,1.0,6318.9,6368.78,11.0,2.0,6318.13,6433.28,22.0,12.0,6318.9,6321.86,11.0,1.0
2n15_1,2,4931.66,5084.26,5.0,0.0,4931.66,5235.6,5.0,0.0,4931.66,5048.05,4.0,0.0,4931.66,4931.66,5.0,0.0
2n15_2,3,5150.52,5465.02,6.0,0.0,5150.52,5655.04,6.0,1.0,5150.52,5693.2,5.0,0.0,5150.52,5150.52,6.0,1.0
2n15_3,4,5784.56,5961.41,8.0,1.0,5784.56,5905.33,8.0,1.0,5784.56,6114.45,7.0,1.0,5784.56,5901.61,9.0,1.0
2n15_4,5,6052.34,6413.75,14.0,1.0,6068.84,6316.75,16.0,4.0,6085.34,6177.58,14.0,3.0,6217.34,6233.84,16.0,1.0
2n20_1,2,5978.41,6510.33,16.0,9.0,5978.41,6201.94,10.0,5.0,5978.41,6173.31,14.0,8.0,5978.41,6196.47,11.0,5.0
2n20_2,3,6208.08,6297.3,16.0,8.0,6224.24,6371.87,17.0,9.0,6224.11,6394.67,18.0,11.0,6224.24,6229.88,18.0,11.0
2n20_3,4,6388.16,6709.31,23.0,14.0,6422.66,6670.29,23.0,14.0,6434.18,6568.69,16.0,8.0,6434.18,6464.77,26.0,17.0
2n20_4,5,6634.96,6694.58,18.0,7.0,6634.96,6836.61,22.0,10.0,6634.96,6825.29,19.0,10.0,6634.96,6693.15,24.0,12.0
2n25_1,2,7648.19,7899.88,15.0,7.0,7648.19,8069.52,10.0,2.0,7647.13,7717.76,12.0,4.0,7648.19,8030.67,16.0,7.0
2n25_2,3,8052.69,8672.39,27.0,17.0,8080.21,8292.76,28.0,18.0,8084.43,8549.75,18.0,9.0,8099.39,8437.66,18.0,7.0
2n25_3,4,8650.52,8700.29,39.0,27.0,8654.72,8716.14,29.0,18.0,8648.13,8958.81,18.0,6.0,8650.52,8699.2,19.0,7.0
2n25_4,5,9149.81,9152.07,25.0,15.0,9149.81,9347.19,25.0,15.0,9147.27,9153.64,24.0,13.0,9149.81,9151.42,19.0,8.0
2n30_1,2,9159.33,9553.07,21.0,10.0,9159.33,9564.32,31.0,21.0,9156.11,9511.26,24.0,15.0,9159.33,9280.6,26.0,17.0
2n30_2,3,9638.29,9808.7,27.0,17.0,9595.06,9820.1,35.0,24.0,9584.47,9685.52,28.0,17.0,9638.29,9678.48,27.0,17.0
2n30_3,4,9933.41,10106.8,28.0,15.0,9934.46,9992.13,43.0,28.0,9926.79,9936.02,34.0,21.0,9934.35,9935.28,32.0,19.0
2n30_4,5,10364.6,10431.2,34.0,21.0,10364.6,10559.9,63.0,46.0,10362.8,10464.7,34.0,19.0,10364.6,10387.2,31.0,17.0
2n35_1,2,8846.87,9482.01,29.0,17.0,8846.87,8972.76,31.0,20.0,8844.93,9128.92,25.0,15.0,8846.87,9087.51,26.0,15.0
2n35_2,3,9204.35,9452.91,42.0,29.0,9204.35,9535.27,31.0,17.0,9204.35,9338.26,25.0,12.0,9204.35,9274.77,32.0,18.0
2n35_3,4,9552.78,9644.3,51.0,33.0,9560.5,9937.77,62.0,43.0,9571.94,9615.89,61.0,41.0,9651.94,9762.71,38.0,21.0
2n35_4,5,10002.2,10662.0,76.0,54.0,10005.6,11016.1,105.0,85.0,10002.1,10401.9,61.0,40.0,10007.3,10143.8,55.0,34.0
2n40_1,2,9556.94,9861.54,51.0,34.0,9554.5,10358.2,42.0,29.0,9551.14,9838.32,58.0,45.0,9554.42,9832.13,57.0,44.0
2n40_2,3,9903.05,9909.32,44.0,29.0,9903.05,10282.7,42.0,27.0,9900.51,10521.4,38.0,24.0,9903.05,9903.05,37.0,22.0
2n40_3,4,10432.5,10588.3,46.0,28.0,10432.5,10852.0,30.0,13.0,10430.7,10962.4,27.0,11.0,10432.5,10436.2,29.0,11.0
2n40_4,5,10732.9,11255.1,116.0,93.0,10734.7,11091.2,103.0,81.0,10720.4,11062.4,67.0,47.0,10738.8,10776.7,76.0,53.0
2n45_1,2,11013.6,11404.3,39.0,26.0,11013.6,11783.1,37.0,25.0,11012.8,11272.6,49.0,36.0,11013.6,11374.1,39.0,27.0
2n45_2,3,11547.3,12333.8,36.0,20.0,11555.5,11780.3,39.0,24.0,11563.8,12022.8,34.0,18.0,11585.0,11642.4,35.0,18.0
2n45_3,4,12154.0,12583.9,59.0,39.0,12153.0,12583.7,70.0,53.0,12152.9,12969.3,58.0,39.0,12150.7,12581.1,42.0,24.0
2n45_4,5,12808.5,13191.8,52.0,31.0,12808.8,13029.8,59.0,38.0,12805.1,13316.9,74.0,52.0,12809.0,13103.0,73.0,52.0
2n50_1,2,12436.1,12920.6,47.0,31.0,12436.4,12798.4,62.0,45.0,12434.3,12778.4,65.0,49.0,12436.1,12820.1,50.0,33.0
2n50_2,3,13124.9,13602.4,92.0,73.0,13123.5,13535.1,44.0,25.0,13120.7,13451.7,77.0,59.0,13125.6,13387.3,76.0,57.0
2n50_3,4,13754.6,14269.9,76.0,59.0,13756.7,13870.7,108.0,84.0,13755.8,14174.7,110.0,87.0,13760.4,13815.4,87.0,65.0
2n50_4,5,14301.2,14873.9,102.0,74.0,14301.5,14884.3,85.0,59.0,14300.3,14790.7,79.0,51.0,14300.9,14514.6,72.0,46.0
3n10_1,2,3755.95,3859.3,3.0,0.0,3755.95,3865.45,3.0,0.0,3755.23,3766.0,3.0,0.0,3755.95,3766.0,3.0,0.0
3n10_2,3,4192.75,4204.08,5.0,0.0,4192.75,4264.12,5.0,0.0,4191.25,4264.12,6.0,0.0,4192.75,4192.75,5.0,0.0
3n10_3,4,4512.99,4518.12,9.0,1.0,4512.99,4518.12,17.0,10.0,4510.57,4513.14,9.0,2.0,4513.02,4513.02,9.0,2.0
3n10_4,5,4880.73,4880.73,28.0,17.0,4925.92,4933.23,46.0,34.0,4940.37,4943.75,16.0,4.0,4941.95,4941.95,17.0,6.0
3n15_1,2,5556.89,5751.23,6.0,2.0,5556.89,5862.16,6.0,2.0,5556.89,5744.44,8.0,3.0,5556.89,5890.2,7.0,3.0
3n15_2,3,5837.1,6006.65,7.0,2.0,5837.1,6010.51,7.0,2.0,5836.99,6014.19,6.0,0.0,5837.1,6078.63,7.0,2.0
3n15_3,4,6447.25,6466.32,18.0,9.0,6492.69,6650.26,16.0,6.0,6518.63,7026.74,27.0,16.0,6518.62,6518.62,38.0,28.0
3n15_4,5,6877.29,7054.7,23.0,11.0,6897.47,7293.29,15.0,4.0,6892.46,7179.63,21.0,8.0,6892.99,6895.41,20.0,7.0
3n20_1,2,6203.39,6601.67,7.0,1.0,6213.39,6418.77,13.0,6.0,6237.52,6314.47,6.0,0.0,6237.52,6237.52,6.0,0.0
3n20_2,3,6485.81,6485.81,10.0,3.0,6485.81,6695.62,8.0,2.0,6485.81,6485.81,11.0,4.0,6485.81,6485.81,8.0,1.0
3n20_3,4,7058.47,7150.38,9.0,0.0,7058.47,7368.15,12.0,3.0,7058.47,7300.73,15.0,5.0,7058.47,7090.14,16.0,6.0
3n20_4,5,7433.63,7459.23,21.0,10.0,7433.63,7539.42,15.0,4.0,7433.63,7509.9,21.0,10.0,7433.63,7507.97,20.0,9.0
3n25_1,2,8029.92,8257.12,15.0,8.0,8029.92,8547.92,13.0,6.0,8029.92,8488.15,16.0,8.0,8029.92,8339.69,9.0,2.0
3n25_2,3,8630.69,8765.91,22.0,12.0,8630.69,9128.65,23.0,15.0,8629.85,9319.49,24.0,14.0,8630.69,8939.94,15.0,6.0
3n25_3,4,9221.62,9504.07,20.0,9.0,9232.62,9932.31,27.0,17.0,9243.62,9618.15,26.0,15.0,9253.52,9579.29,32.0,21.0
3n25_4,5,9821.71,9859.95,54.0,38.0,9829.48,9926.13,25.0,10.0,9835.15,9971.97,34.0,17.0,9842.23,9856.18,48.0,33.0
3n30_1,2,9828.7,10088.1,20.0,12.0,9828.7,10028.4,24.0,16.0,9826.71,9888.15,25.0,17.0,9828.7,9904.79,19.0,10.0
3n30_2,3,10039.3,10411.2,24.0,15.0,10039.3,10156.1,23.0,12.0,10037.2,10372.1,26.0,15.0,10039.3,10330.3,22.0,12.0
3n30_3,4,10374.1,10643.6,33.0,20.0,10374.1,10604.3,28.0,15.0,10372.9,10481.7,30.0,17.0,10374.1,10492.1,28.0,15.0
3n30_4,5,10680.8,10719.2,25.0,12.0,10680.8,10711.8,35.0,21.0,10678.3,10750.5,28.0,13.0,10680.8,10729.7,29.0,16.0
3n35_1,2,11333.1,12023.2,35.0,23.0,11333.1,12108.1,35.0,23.0,11333.1,11584.4,35.0,23.0,11333.1,11501.8,16.0,5.0
3n35_2,3,11880.3,12228.4,45.0,31.0,11880.3,12416.7,55.0,40.0,11880.8,12569.8,38.0,24.0,11880.3,12232.0,34.0,20.0
