"CO=LC, H=3",,\rho=50,,,,\rho=75,,,,\rho=100,,,,\rho=300,,,
Instance,K,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST
2n10_3,4,1635.21,1635.21,1.0,0.0,2295.39,2295.39,2.0,0.0,2861.14,2874.43,2.0,0.0,3858.55,3861.59,9.0,4.0
2n10_4,5,1635.21,1635.21,1.0,0.0,2340.46,2340.46,2.0,0.0,2944.78,2944.78,3.0,0.0,4530.36,4530.36,7.0,0.0
2n15_1,2,2022.57,2182.07,4.0,1.0,2124.03,2141.79,3.0,0.0,2214.53,2238.29,3.0,0.0,2424.89,2436.46,4.0,0.0
2n15_2,3,2114.41,2149.73,3.0,0.0,2430.89,2491.28,4.0,0.0,2508.25,2639.45,4.0,0.0,2665.54,2669.39,5.0,0.0
2n15_3,4,2182.07,2361.17,2.0,0.0,2655.25,2655.25,4.0,1.0,2917.88,2932.54,7.0,2.0,3295.11,3308.94,16.0,9.0
2n15_4,5,2182.07,2182.07,2.0,0.0,2841.01,2877.46,4.0,0.0,3166.81,3166.81,5.0,0.0,3535.59,3535.59,12.0,2.0
2n20_1,2,2066.08,2079.34,7.0,3.0,2204.07,2287.8,7.0,3.0,2408.83,2408.83,14.0,7.0,2471.47,2719.58,9.0,4.0
2n20_2,3,2159.74,2218.09,8.0,2.0,2389.93,2458.19,7.0,2.0,2553.91,2593.66,8.0,2.0,2677.66,2677.66,23.0,16.0
2n20_3,4,2223.8,2223.8,6.0,1.0,2523.24,2569.25,9.0,4.0,2636.57,2709.76,9.0,2.0,2847.32,2885.75,13.0,5.0
2n20_4,5,2337.72,2337.72,10.0,4.0,2665.49,2680.29,14.0,6.0,2860.21,2902.18,14.0,5.0,3119.9,3213.41,16.0,7.0
2n25_1,2,2818.88,3427.88,14.0,8.0,2943.08,3018.2,10.0,3.0,3197.9,3197.9,42.0,33.0,3264.07,3386.29,12.0,4.0
2n25_2,3,3073.52,3519.49,13.0,6.0,3337.79,3930.42,15.0,8.0,3425.53,3530.85,15.0,7.0,3688.06,3926.38,12.0,3.0
2n25_3,4,3337.7,3368.73,8.0,2.0,3614.22,3722.18,16.0,8.0,3924.93,4120.43,17.0,8.0,4324.72,4437.26,14.0,3.0
2n25_4,5,3521.35,3643.85,12.0,5.0,4042.03,4102.31,21.0,13.0,4395.64,4593.1,18.0,8.0,4852.32,4852.51,35.0,23.0
2n30_1,2,3041.1,3440.42,13.0,6.0,3160.82,3287.47,13.0,5.0,3241.21,3270.91,9.0,2.0,3438.64,3610.43,18.0,10.0
2n30_2,3,3235.26,3332.66,15.0,7.0,3404.28,3404.28,9.0,1.0,3536.78,3567.3,10.0,1.0,3784.24,4053.8,25.0,15.0
2n30_3,4,3364.21,3726.2,14.0,7.0,3723.95,3868.29,19.0,10.0,3880.3,3969.45,39.0,28.0,4198.37,4282.38,35.0,23.0
2n30_4,5,3576.09,3669.8,19.0,10.0,4006.75,4113.44,18.0,8.0,4329.47,4329.62,29.0,16.0,4652.34,4652.34,26.0,12.0
2n35_1,2,3318.07,4100.36,18.0,11.0,3461.49,3836.31,19.0,9.0,3564.24,3803.21,33.0,21.0,3663.92,3930.73,17.0,7.0
2n35_2,3,3479.31,4221.82,9.0,2.0,3759.85,3940.9,24.0,14.0,3869.22,4470.97,31.0,19.0,4024.21,4122.37,24.0,13.0
2n35_3,4,3767.73,4368.99,16.0,7.0,4028.94,4422.83,29.0,20.0,4170.94,4361.36,20.0,10.0,4359.81,4387.84,33.0,16.0
2n35_4,5,3924.66,4127.48,9.0,1.0,4428.31,4655.77,24.0,12.0,4586.8,5096.39,32.0,20.0,4797.6,4836.12,41.0,22.0
2n40_1,2,3237.33,4245.13,16.0,7.0,3519.4,4187.29,23.0,12.0,3604.18,3666.81,26.0,13.0,3854.69,3972.14,23.0,9.0
2n40_2,3,3593.29,3730.95,29.0,18.0,3748.86,5010.13,25.0,13.0,4111.25,4111.25,46.0,26.0,4334.51,4334.51,28.0,16.0
2n40_3,4,3790.58,4162.25,25.0,14.0,4192.31,4575.47,26.0,13.0,4425.68,4425.68,44.0,26.0,4659.01,4767.26,36.0,20.0
2n40_4,5,4198.33,4449.84,24.0,12.0,4585.82,5242.29,42.0,26.0,4881.63,5182.93,49.0,30.0,5151.18,5211.49,111.0,89.0
2n45_1,2,3674.7,4056.22,35.0,24.0,3793.12,5162.58,21.0,12.0,3879.56,3879.56,24.0,12.0,3919.3,3979.81,27.0,16.0
2n45_2,3,3858.67,4471.63,32.0,21.0,4204.23,4987.86,24.0,13.0,4480.62,4794.82,60.0,43.0,4434.59,4756.33,41.0,24.0
2n45_3,4,4201.52,4613.2,25.0,13.0,4877.77,4892.71,51.0,35.0,5057.12,5100.45,40.0,21.0,5357.9,5357.91,73.0,55.0
2n45_4,5,4446.92,4446.92,39.0,11.0,4976.54,5245.29,66.0,51.0,5242.1,5437.68,49.0,33.0,5710.07,5849.15,92.0,70.0
2n50_1,2,4161.81,4867.47,44.0,33.0,4236.44,4738.62,63.0,50.0,4287.99,5002.16,42.0,27.0,4461.12,4721.76,58.0,43.0
2n50_2,3,4640.09,5113.41,46.0,33.0,4823.73,6222.49,62.0,48.0,4958.06,7256.17,57.0,38.0,5138.95,5681.92,33.0,15.0
2n50_3,4,5017.96,5487.76,37.0,22.0,5422.64,6209.01,58.0,41.0,5489.89,7175.21,42.0,24.0,5806.34,6077.98,50.0,30.0
2n50_4,5,5424.67,5760.5,32.0,19.0,5938.64,6447.3,129.0,112.0,6018.43,6988.74,85.0,67.0,6268.28,6836.75,46.0,22.0
3n10_1,2,1217.47,1217.47,1.0,0.0,1599.74,1600.73,1.0,0.0,1826.24,1840.48,3.0,0.0,2096.09,2097.81,2.0,0.0
3n10_2,3,1217.47,1217.47,2.0,0.0,1725.22,1788.52,1.0,0.0,2045.55,2058.42,3.0,1.0,2551.08,2579.01,4.0,0.0
3n10_3,4,1217.47,1217.47,3.0,1.0,1725.22,1725.22,2.0,0.0,2177.95,2177.95,3.0,1.0,2808.79,2808.79,7.0,0.0
3n10_4,5,1217.47,1217.47,1.0,0.0,1725.22,1725.22,2.0,0.0,2198.1,2198.1,2.0,0.0,3165.83,3165.83,9.0,0.0
3n15_1,2,1859.05,1898.91,2.0,0.0,2194.02,2195.42,3.0,0.0,2510.27,2510.27,10.0,4.0,2690.81,2730.6,6.0,2.0
3n15_2,3,1877.77,1877.77,3.0,0.0,2194.02,2194.02,4.0,0.0,2510.27,2510.27,12.0,7.0,2964.62,3046.2,8.0,3.0
3n15_3,4,1950.17,1950.17,6.0,2.0,2283.67,2283.67,4.0,0.0,2617.17,2736.44,6.0,0.0,3364.37,3364.37,7.0,1.0
3n15_4,5,2105.76,2105.76,5.0,0.0,2436.29,2436.29,6.0,0.0,2752.54,2752.54,7.0,1.0,3832.5,3968.64,15.0,6.0
3n20_1,2,2189.09,2235.19,2.0,0.0,2341.01,2691.62,4.0,0.0,2395.06,2395.06,4.0,0.0,2607.26,2667.86,6.0,1.0
3n20_2,3,2305.42,2327.23,4.0,0.0,2590.6,2784.24,7.0,1.0,2700.98,2700.98,6.0,0.0,2900.88,2900.88,7.0,0.0
3n20_3,4,2403.34,2424.48,4.0,0.0,2779.49,2779.49,10.0,4.0,2894.85,2963.22,12.0,4.0,3325.48,3325.48,11.0,4.0
3n20_4,5,2438.46,2438.46,6.0,2.0,2938.31,2938.31,7.0,1.0,3205.35,3205.35,9.0,1.0,3779.06,3779.06,11.0,1.0
3n25_1,2,3017.98,3442.95,10.0,4.0,3195.99,4011.4,15.0,8.0,3239.78,3331.99,21.0,14.0,3292.26,3361.44,13.0,7.0
3n25_2,3,3448.3,3713.62,14.0,7.0,3731.0,4153.18,13.0,6.0,3824.0,4001.38,19.0,11.0,3890.53,3939.82,13.0,5.0
3n25_3,4,3627.65,4138.56,13.0,7.0,4132.75,4286.34,23.0,14.0,4508.71,4759.93,21.0,10.0,4466.6,4646.98,22.0,12.0
3n25_4,5,3843.34,3843.34,8.0,3.0,4527.69,4623.06,34.0,26.0,4848.75,4848.75,27.0,8.0,5061.67,5061.67,36.0,23.0
3n30_1,2,3371.21,3786.19,15.0,5.0,3675.18,4086.07,19.0,11.0,3369.22,3949.25,13.0,4.0,3371.21,3396.1,15.0,6.0
3n30_2,3,3370.79,3444.35,19.0,11.0,3550.93,3994.29,25.0,15.0,3564.12,3565.59,22.0,11.0,3575.76,3621.1,18.0,7.0
3n30_3,4,3570.52,3589.87,21.0,11.0,3823.38,4054.36,25.0,15.0,3847.11,3950.09,26.0,14.0,3896.41,3909.63,26.0,13.0
3n30_4,5,3699.47,3700.38,19.0,9.0,4074.04,4261.58,33.0,19.0,4211.96,4323.32,24.0,8.0,4214.41,4214.41,31.0,19.0
3n35_1,2,3890.67,4253.05,25.0,13.0,4180.28,4998.35,10.0,3.0,3904.76,4317.27,32.0,20.0,3888.67,4028.8,25.0,14.0
3n35_2,3,4243.15,4612.49,23.0,12.0,4490.92,5116.51,11.0,1.0,4446.56,4606.51,30.0,16.0,4444.64,4444.64,38.0,25.0
