"CO=LC, H=3",,\rho=50,,,,\rho=75,,,,\rho=100,,,,\rho=300,,,
Instance,K,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST
5n35_3,4,3696.07,4028.91,24.0,12.0,4002.56,4242.21,25.0,13.0,4106.11,4324.18,35.0,21.0,4230.72,4601.25,25.0,10.0
5n35_4,5,3960.97,3960.97,20.0,9.0,4349.5,4729.97,44.0,30.0,4514.94,4981.42,45.0,29.0,4632.93,5007.61,53.0,32.0
5n40_1,2,3487.04,3938.83,34.0,23.0,3507.75,3877.4,27.0,14.0,3528.96,3557.32,36.0,24.0,3605.49,3985.89,29.0,16.0
5n40_2,3,3900.36,4109.48,32.0,20.0,3949.46,4206.81,30.0,17.0,3975.21,4189.5,26.0,12.0,4058.62,4346.05,46.0,33.0
5n40_3,4,4201.55,4253.41,26.0,13.0,4263.2,5032.09,31.0,17.0,4309.45,4605.92,40.0,24.0,4447.33,4505.92,55.0,40.0
5n40_4,5,4405.86,4487.07,59.0,46.0,4652.88,4938.2,53.0,36.0,4717.97,5405.13,33.0,16.0,4748.33,5028.59,48.0,28.0
5n45_1,2,3386.61,3485.67,26.0,16.0,3494.72,3712.28,43.0,31.0,3551.7,3997.2,34.0,20.0,3636.65,3681.88,36.0,22.0
5n45_2,3,3649.58,3781.06,34.0,21.0,3732.36,4163.17,43.0,28.0,3814.01,4159.21,34.0,18.0,3863.95,3992.18,48.0,32.0
5n45_3,4,3831.0,4152.08,32.0,19.0,3950.57,4104.88,66.0,51.0,3995.5,4460.46,65.0,45.0,4135.57,4247.84,50.0,29.0
5n45_4,5,4042.01,4157.54,43.0,29.0,4180.97,4275.5,100.0,80.0,4268.62,4993.53,40.0,20.0,4338.27,4545.15,57.0,32.0
5n50_1,2,3992.59,5602.88,29.0,17.0,4091.84,4405.6,36.0,19.0,4133.46,4809.03,38.0,20.0,4245.27,4674.67,48.0,31.0
5n50_2,3,4520.86,5293.05,56.0,40.0,4605.19,5394.14,58.0,40.0,4641.5,5167.72,78.0,59.0,4765.74,5293.0,37.0,18.0
5n50_3,4,5007.51,5506.1,65.0,47.0,5207.53,6193.67,65.0,47.0,5297.18,5784.03,54.0,34.0,5411.4,5633.69,55.0,32.0
5n50_4,5,5381.91,5759.01,59.0,41.0,5687.66,6595.67,90.0,69.0,5846.77,6476.22,55.0,34.0,5913.45,6129.29,60.0,35.0
