"CO=LC,H=6",,\rho=50,,,\rho=75,,,\rho=100,,,\rho=300,,
Instance,Veh,sHGS,tHGS,BST,sHGS,tHGS,BST,sHGS,tHGS,BST,sHGS,tHGS,BST
5n50_1,2,10164.7,297.0,239.0,11138.0,242.0,194.0,10400.4,250.0,179.0,10532.2,346.0,274.0
5n50_2,3,11526.9,517.0,446.0,13212.6,341.0,282.0,12139.5,450.0,361.0,12231.5,406.0,307.0
5n50_3,4,12853.4,420.0,351.0,14708.4,415.0,344.0,14075.5,230.0,128.0,14134.5,322.0,191.0
5n50_4,5,14132.5,450.0,376.0,15708.5,264.0,180.0,15733.8,378.0,283.0,15958.1,913.0,761.0
5n100_1,2,14505.2,1062.0,948.0,15501.7,1222.0,1050.0,14852.5,847.0,719.0,14934.1,770.0,636.0
5n100_2,3,15300.9,1097.0,913.0,15750.2,741.0,508.0,15745.4,804.0,650.0,15683.1,1112.0,965.0
5n100_3,4,16354.2,1549.0,1352.0,16740.4,1614.0,1328.0,16634.1,957.0,771.0,16718.6,1038.0,856.0
5n100_4,5,17511.3,1280.0,1089.0,17879.0,1152.0,896.0,17655.3,1631.0,1379.0,17787.2,1541.0,1317.0
5n200_1,2,22515.6,2400.0,2146.5,23655.8,2400.0,2101.6,22837.8,2581.0,2264.0,23028.4,2075.0,1753.0
5n200_2,3,23482.2,2400.0,2063.0,24307.2,2400.0,1839.7,23908.8,3042.0,2660.0,23986.5,2400.0,2257.5
5n200_3,4,24993.5,2400.0,2138.0,25769.6,2400.0,1676.0,25400.1,2708.0,2290.0,25246.4,2400.0,2027.8
5n200_4,5,26657.7,2400.0,1867.5,28018.9,2400.0,1337.9,26829.4,3957.0,3430.0,26831.7,2400.0,2113.4
6n100_1,2,14823.9,1210.0,1077.0,15806.6,608.0,429.0,14993.4,911.0,789.0,15211.8,927.0,781.0
6n100_2,3,16384.0,707.0,538.0,16936.9,1265.0,1041.0,16649.3,684.0,510.0,16866.6,864.0,676.0
6n100_3,4,17919.7,802.0,637.0,19373.9,1188.0,914.0,18341.9,1651.0,1434.0,18575.3,1211.0,966.0
6n100_4,5,19905.1,636.0,437.0,21066.5,994.0,716.0,20659.0,719.0,490.0,20737.8,1374.0,1078.0
6n200_1,2,22229.8,2400.0,2140.0,23101.9,2400.0,1854.1,22335.4,3321.0,2970.0,22442.6,2400.0,2139.7
6n200_2,3,23257.0,2400.0,2102.7,23856.5,2400.0,1877.5,23502.6,2293.0,1898.0,23449.5,2400.0,2157.2
6n200_3,4,24553.3,2400.0,2099.4,25242.2,2400.0,1738.9,24798.2,3797.0,3403.0,24640.4,2400.0,2042.0
6n200_4,5,26345.5,2015.0,1388.0,26995.0,2400.0,1640.6,26280.8,3030.0,2463.0,26274.0,2400.0,2113.2
6n50_1,2,10577.4,440.0,377.0,11416.9,389.0,337.0,10876.4,340.0,269.0,11021.4,295.0,223.0
6n50_2,3,12399.1,367.0,303.0,13149.9,373.0,302.0,12993.2,387.0,309.0,13068.1,368.0,278.0
6n50_3,4,13927.3,400.0,335.0,14747.4,301.0,224.0,14823.1,555.0,479.0,15118.2,439.0,324.0
6n50_4,5,15193.5,491.0,434.0,16560.3,280.0,212.0,16668.9,295.0,215.0,17162.7,399.0,251.0
7n50_1,2,10338.6,395.0,339.0,11434.1,205.0,148.0,10774.7,421.0,364.0,11091.9,316.0,258.0
7n50_2,3,12056.5,473.0,412.0,13634.8,295.0,233.0,12689.7,391.0,315.0,13027.6,452.0,362.0
7n50_3,4,13690.4,403.0,343.0,15311.0,392.0,328.0,14620.1,470.0,387.0,15176.0,276.0,156.0
7n50_4,5,14845.3,545.0,495.0,16899.4,329.0,254.0,16799.8,425.0,348.0,17482.0,472.0,316.0
7n100_1,2,14681.7,725.0,606.0,15002.1,987.0,848.0,14933.1,1200.0,1079.0,15041.6,722.0,598.0
7n100_2,3,15555.7,1481.0,1327.0,17666.2,1025.0,794.0,15882.8,1009.0,843.0,15929.8,924.0,767.0
7n100_3,4,16820.5,1579.0,1399.0,18434.3,983.0,714.0,17184.8,1646.0,1435.0,17311.1,1115.0,913.0
7n100_4,5,18088.9,1095.0,900.0,19656.2,952.0,685.0,18505.1,1624.0,1408.0,18715.7,1124.0,855.0
7n200_1,2,22108.0,2400.0,2134.0,23073.5,1411.0,885.0,22531.0,3016.0,2649.0,22504.4,1923.0,1552.0
7n200_2,3,22851.1,2400.0,2014.6,23691.3,2345.0,1641.0,23184.6,2687.0,2318.0,23195.2,2400.0,2195.5
7n200_3,4,23835.2,2400.0,2178.9,24508.4,2400.0,1933.4,24259.0,4271.0,3841.0,24275.8,2400.0,2157.6
7n200_4,5,25489.9,2400.0,1908.2,25637.5,2400.0,1840.1,25667.4,3779.0,3220.0,25733.0,2400.0,2055.5
8n50_1,2,11008.8,267.0,208.0,11338.1,312.0,256.0,11422.7,311.0,241.0,11880.9,374.0,301.0
8n50_2,3,13013.6,238.0,175.0,13592.2,395.0,345.0,13712.4,264.0,194.0,14071.7,647.0,554.0
8n50_3,4,14757.3,412.0,359.0,16382.9,615.0,559.0,16165.4,367.0,289.0,16699.7,296.0,177.0
8n50_4,5,16136.5,150.0,100.0,17992.2,840.0,781.0,18630.9,567.0,494.0,19403.4,407.0,279.0
8n100_1,2,14705.4,744.0,625.0,15399.3,960.0,798.0,15002.4,805.0,661.0,15273.2,769.0,634.0
8n100_2,3,16271.0,730.0,567.0,17018.3,1452.0,1207.0,16734.9,771.0,577.0,16895.2,1197.0,1019.0
8n100_3,4,18324.4,913.0,751.0,20156.6,1250.0,951.0,18827.0,573.0,349.0,18730.8,1325.0,1112.0
8n100_4,5,20245.2,858.0,674.0,21184.6,1048.0,690.0,20740.8,1204.0,981.0,20610.6,1174.0,882.0
8n200_1,2,21929.7,2400.0,2124.7,22690.5,2400.0,1834.7,22223.4,1705.0,1388.0,22195.2,2400.0,2221.3
8n200_2,3,22726.4,2400.0,2047.6,23129.3,2400.0,1840.1,22747.9,2384.0,2080.0,22925.8,2338.0,2004.0
8n200_3,4,23519.1,2400.0,2132.7,23881.7,2400.0,1699.1,23568.6,3923.0,3543.0,23693.5,2400.0,2147.0
8n200_4,5,24496.8,2400.0,2125.8,25131.3,2400.0,1623.6,24770.5,3782.0,3260.0,24920.2,2400.0,1867.4
9n50_1,2,10124.0,228.0,178.0,10771.3,315.0,259.0,10382.6,222.0,163.0,10606.0,347.0,281.0
9n50_2,3,11340.4,259.0,200.0,12409.3,696.0,636.0,11893.2,426.0,352.0,12129.9,402.0,316.0
9n50_3,4,12486.8,525.0,458.0,14097.5,487.0,421.0,13590.4,378.0,299.0,13854.9,653.0,543.0
9n50_4,5,13552.0,425.0,333.0,15403.4,582.0,511.0,15240.9,570.0,477.0,15763.4,471.0,340.0
9n100_1,2,14891.4,901.0,799.0,15175.4,746.0,597.0,15241.4,953.0,831.0,15413.4,771.0,653.0
9n100_2,3,16544.3,1291.0,1127.0,17372.2,936.0,729.0,16865.1,1859.0,1693.0,17161.4,832.0,650.0
9n100_3,4,18418.9,1213.0,1059.0,21589.8,953.0,696.0,18821.0,1361.0,1150.0,19059.3,1647.0,1415.0
