Instance  (n=10),UB,t,UB.1,t,LB,UB.2,t,Best,,sHGS,tHGS,BST,CostAvg,Gapb,GapAvg
R_RC_N10_Q18_T6,5847.09,0,3907.04,1800.0,3895.65,3896.01,29.0,3896.01,,3896.01,7200.0,1497.0,3911.35,0.0,0.39
R_RC_N10_Q18_T9,11346.4,0,8317.24,1800.0,8224.23,8238.37,7200.0,8238.37,,8239.68,10634.0,8099.0,8263.84,0.02,0.31
R_RC_N10_Q18_T12,13658.7,0,12196.21,1800.0,12143.8,12157.9,7200.0,12157.9,,12157.9,18000.0,14988.0,12171.3,0.0,0.11
R_RC_N10_Q38_T6,6531.75,0,3519.75,1800.0,3516.06,3516.38,39.0,3516.38,,3516.38,155.0,155.0,3549.22,0.0,0.93
R_RC_N10_Q38_T9,5375.9,0,2789.97,1800.0,2744.25,2786.52,7200.0,2786.52,,2781.49,1278.0,656.0,2808.46,-0.18,0.79
R_RC_N10_Q38_T12,8660.96,0,4977.98,1800.0,4953.73,4956.09,7200.0,4956.09,,4958.67,6894.0,5443.0,5040.3,0.05,1.7
U_RC_N10_Q8_T6,1507.98,0,1208.53,1800.0,1203.28,1203.4,1267.0,1203.4,,1203.4,7200.0,3531.0,1204.29,0.0,0.07
U_RC_N10_Q8_T9,5979.09,0,5064.45,1800.0,5040.68,5040.75,20.0,5040.75,,5040.75,602.0,131.0,5040.76,0.0,0.0
U_RC_N10_Q8_T12,2958.27,0,1484.66,1800.0,1456.79,1459.0,7200.0,1459.0,,1459.86,18007.0,14989.0,1461.68,0.06,0.18
U_RC_N10_Q18_T6,2026.22,0,1253.13,1800.0,1237.02,1239.6,7200.0,1239.6,,1239.6,373.0,185.0,1239.69,0.0,0.01
U_RC_N10_Q18_T9,1835.79,0,1520.5,1800.0,1474.35,1486.45,7200.0,1486.45,,1487.21,7200.0,7004.0,1494.59,0.05,0.55
U_RC_N10_Q18_T12,4064.09,0,3001.28,1800.0,2874.87,2885.74,7200.0,2885.74,,2894.58,10583.0,4961.0,2901.86,0.31,0.56
U_RC_N10_Q38_T6,1396.33,0,851.73,818.0,851.66,851.73,31.0,851.73,,851.73,7200.0,4232.0,852.54,0.0,0.1
U_RC_N10_Q38_T9,1364.44,0,750.02,1800.0,742.18,748.12,7200.0,748.12,,748.12,651.0,490.0,751.57,0.0,0.46
U_RC_N10_Q38_T12,1970.4,0,1162.62,1800.0,1095.75,1143.27,7200.0,1143.27,,1147.03,7419.0,4898.0,1154.37,0.33,0.97
Instance (n=25),UB,t,UB.1,t,LB,UB.2,t,Best,,sHGS,tHGS,BST,Cost_Avg,Gapb,Gapavg
R_C_N25_Q8_T6,45732.0,0,36479.54,1800,35983.7,36031.9,7200.0,36031.9,,36020.7,7200.0,3848.0,36040.68,-0.03,0.02
R_C_N25_Q8_T9,46746.3,0,36989.9,1800,35091.3,35133.3,7200.0,35133.3,,35165.1,18000.0,12807.0,35225.07,0.09,0.26
R_C_N25_Q8_T12,75355.4,0,56066.15,1800,53010.9,53398.7,7200.0,53398.7,,53347.5,7200.0,5258.0,53433.37,-0.1,0.06
R_C_N25_Q18_T6,11162.7,0,8121.86,1800,7486.21,7544.34,7200.0,7544.34,,7562.81,14320.0,12154.0,7625.87,0.24,1.08
R_C_N25_Q18_T9,24357.6,0,22772.79,1800,19759.7,19845.3,7199.0,19845.3,,19941.4,18001.0,14072.0,20034.16,0.48,0.95
R_C_N25_Q18_T12,45552.7,0,40399.06,1800,38486.7,38807.8,7198.0,38807.8,,38921.5,16526.0,2572.0,39027.21,0.29,0.57
R_C_N25_Q38_T6,13505.2,0,10233.0,1800,9875.91,9939.82,7198.0,9939.82,,10022.8,7200.0,6597.0,10051.37,0.83,1.12
R_C_N25_Q38_T9,12521.8,0,8444.52,1800,8189.84,8389.26,7198.0,8389.26,,8423.94,9415.0,6897.0,8446.99,0.41,0.69
R_C_N25_Q38_T12,18705.5,0,13598.35,1800,11983.2,12125.4,7198.0,12125.4,,12291.5,7210.0,6893.0,12338.0,1.37,1.75
U_C_N25_Q8_T6,5772.65,0,4136.52,1800,3982.84,4006.99,7200.0,4006.99,,3995.78,10554.0,8351.0,3999.19,-0.28,-0.19
U_C_N25_Q8_T9,15238.0,0,12585.9,1800,10883.2,10907.2,7199.0,10907.2,,10913.1,7201.0,7109.0,10919.94,0.05,0.12
U_C_N25_Q8_T12,7098.12,0,5133.01,1800,4395.11,4425.63,7199.0,4425.63,,4425.42,7200.0,6341.0,4436.87,-0.0,0.25
U_C_N25_Q18_T6,4596.9,0,3426.52,1800,3143.1,3165.2,7200.0,3165.2,,3211.39,4537.0,2978.0,3240.32,1.46,2.37
U_C_N25_Q18_T9,5803.28,0,4491.19,1800,4104.7,4130.0,7199.0,4130.0,,4192.97,16237.0,4803.0,4211.0,1.52,1.96
U_C_N25_Q18_T12,9553.81,0,8721.1,1800,7517.9,7598.05,7199.0,7598.05,,7672.48,18004.0,5731.0,7684.44,0.98,1.14
U_C_N25_Q38_T6,3427.58,0,2052.57,1800,1866.49,1872.77,7199.0,1872.77,,1889.34,7201.0,6757.0,1990.63,0.88,6.29
U_C_N25_Q38_T9,3997.25,0,2767.21,1800,2531.43,2573.73,7199.0,2573.73,,2603.71,18000.0,14549.0,2619.86,1.16,1.79
U_C_N25_Q38_T12,5036.39,0,3748.18,1800,2911.35,3066.03,7198.0,3066.03,,2999.71,18000.0,11123.0,3026.85,-2.16,-1.28
R_R_N25_Q8_T6,27700.7,0,22132.9,1800,21113.6,21321.2,7199.0,21321.2,,21225.7,7200.0,5681.0,21234.71,-0.45,-0.41
R_R_N25_Q8_T9,34568.4,0,25615.29,1800,24078.5,24087.2,7198.0,24087.2,,24087.5,5675.0,5282.0,24090.01,0.0,0.01
R_R_N25_Q8_T12,70433.9,0,51443.73,1800,47852.1,48185.0,7200.0,48185.0,,48196.8,14793.0,12643.0,48215.36,0.02,0.06
R_R_N25_Q18_T6,18932.2,0,15371.5,1800,13717.5,14097.9,7199.0,14097.9,,14099.8,15004.0,10351.0,14286.68,0.01,1.34
R_R_N25_Q18_T9,25445.0,0,24496.78,1800,21082.1,21227.6,7199.0,21227.6,,21315.5,18630.0,16541.0,21414.42,0.41,0.88
R_R_N25_Q18_T12,27839.8,0,27500.75,1800,23609.3,25369.2,7199.0,25369.2,,23805.2,18002.0,15289.0,23895.3,-6.16,-5.81
R_R_N25_Q38_T6,11952.2,0,6555.82,1800,6052.46,6394.81,7199.0,6394.81,,6301.92,15338.0,11953.0,6433.37,-1.45,0.6
R_R_N25_Q38_T9,25691.9,0,18048.16,1800,15614.2,16179.9,7198.0,16179.9,,16503.9,36000.0,33333.0,16736.7,2.0,3.44
R_R_N25_Q38_T12,24918.1,0,17574.61,1800,13381.3,14347.2,7199.0,14347.2,,14744.8,36000.0,35967.0,15429.18,2.77,7.54
U_R_N25_Q8_T6,5749.55,0,4810.25,1800,4480.08,4539.95,7199.0,4539.95,,4509.64,14139.0,14005.0,4522.3,-0.67,-0.39
U_R_N25_Q8_T9,12520.3,0,9246.15,1800,8520.4,8607.99,7200.0,8607.99,,8608.95,18000.0,15217.0,8618.41,0.01,0.12
