"CO=LC,H=6",,\rho=50,,,,\rho=75,,,,\rho=100,,,,\rho=300,,,
Instance,K,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST
2n10_3,4,3725.68,3725.68,6.0,0.0,5083.1,5083.1,8.0,1.0,6435.6,6435.6,10.0,1.0,9438.55,9509.83,105.0,80.0
2n10_4,5,3782.8,3782.8,6.0,1.0,5198.79,5198.79,8.0,1.0,6589.29,6589.29,10.0,1.0,11078.1,11081.4,88.0,59.0
2n15_1,2,5188.66,5366.46,40.0,27.0,5627.29,6368.37,43.0,28.0,5828.29,5835.1,37.0,20.0,6007.93,6007.93,25.0,7.0
2n15_2,3,5675.09,5799.88,31.0,17.0,6350.27,6417.86,42.0,26.0,6642.12,7118.96,44.0,23.0,6987.65,6997.6,80.0,54.0
2n15_3,4,5835.21,5848.02,13.0,3.0,7040.7,7210.1,49.0,32.0,7426.45,7682.62,74.0,53.0,8009.58,8069.72,140.0,114.0
2n15_4,5,5850.15,5850.15,14.0,3.0,7467.14,7629.24,29.0,10.0,8090.25,8138.27,71.0,46.0,8954.7,8970.61,178.0,137.0
2n20_1,2,5416.32,5468.0,81.0,61.0,5784.1,6252.78,54.0,30.0,5920.43,5933.16,75.0,51.0,6211.06,6256.55,108.0,82.0
2n20_2,3,5817.3,5819.52,66.0,40.0,6205.09,6272.56,116.0,89.0,6358.51,6387.69,153.0,124.0,6751.38,6773.4,145.0,117.0
2n20_3,4,6238.72,6373.91,66.0,35.0,6733.95,6810.09,119.0,89.0,7037.74,7164.4,64.0,27.0,7454.35,7454.35,197.0,171.0
2n20_4,5,6620.64,6620.64,94.0,62.0,7321.3,7353.13,164.0,127.0,7652.48,7689.27,92.0,50.0,8159.93,8181.9,207.0,161.0
2n25_1,2,6983.72,7401.15,89.0,64.0,7395.24,7466.38,85.0,60.0,7630.84,7884.22,149.0,121.0,8116.8,8161.97,84.0,50.0
2n25_2,3,7969.95,8169.77,84.0,56.0,8610.88,8908.26,145.0,113.0,8974.85,9271.83,139.0,105.0,9446.52,9591.48,384.0,340.0
2n25_3,4,8655.07,8661.51,56.0,34.0,9618.04,10057.5,160.0,134.0,10103.4,10213.0,127.0,94.0,10863.1,10987.5,371.0,318.0
2n25_4,5,9007.15,9007.15,73.0,45.0,10555.8,10594.3,109.0,80.0,11357.1,11371.8,188.0,153.0,12439.4,12564.0,338.0,278.0
2n30_1,2,7508.51,7782.71,95.0,66.0,7749.28,7901.13,108.0,78.0,7896.83,7969.96,185.0,148.0,8206.95,8421.71,266.0,229.0
2n30_2,3,8176.65,8871.82,165.0,127.0,8572.94,9298.66,207.0,163.0,8804.16,8960.85,156.0,114.0,9213.7,9349.61,184.0,132.0
2n30_3,4,8953.52,9054.25,112.0,76.0,9580.19,9739.08,303.0,259.0,9861.55,9989.37,296.0,247.0,10439.9,10439.9,410.0,367.0
2n30_4,5,9770.16,9892.64,131.0,98.0,10546.1,10825.9,534.0,488.0,10883.1,11103.8,265.0,210.0,11549.1,11605.1,281.0,213.0
2n35_1,2,8278.34,8565.84,196.0,166.0,8584.63,8738.84,217.0,181.0,8758.69,9019.2,149.0,108.0,8939.03,8997.55,241.0,199.0
2n35_2,3,9064.57,9602.14,138.0,93.0,9371.15,9707.39,219.0,175.0,9642.24,9833.51,219.0,167.0,9791.63,9824.75,407.0,353.0
2n35_3,4,9881.29,10028.8,207.0,166.0,10302.7,10464.6,289.0,240.0,10454.3,10518.7,394.0,336.0,10725.6,10725.6,590.0,537.0
2n35_4,5,10549.3,10597.1,111.0,65.0,11255.0,11657.6,346.0,293.0,11538.2,12216.4,323.0,264.0,11866.3,12031.3,312.0,235.0
2n40_1,2,8240.18,8911.79,128.0,87.0,8701.06,8725.88,151.0,105.0,8957.04,8976.36,133.0,91.0,9387.6,9400.92,177.0,125.0
2n40_2,3,9037.73,9608.23,214.0,167.0,9527.43,11022.4,293.0,247.0,9896.72,10481.7,206.0,150.0,10360.9,10390.9,393.0,334.0
2n40_3,4,10005.4,10450.4,271.0,224.0,10630.3,11511.6,393.0,338.0,11118.3,11486.6,248.0,179.0,11674.4,11711.2,484.0,403.0
2n40_4,5,10932.7,11188.2,180.0,134.0,11795.7,12593.8,433.0,376.0,12476.3,12941.9,494.0,427.0,13093.1,13270.5,448.0,355.0
2n45_1,2,9225.06,10157.1,232.0,188.0,9742.11,10220.3,284.0,236.0,9875.7,10257.7,236.0,183.0,9941.41,10020.2,389.0,340.0
2n45_2,3,10406.2,10982.7,333.0,278.0,11094.5,11287.2,414.0,359.0,11442.6,11541.6,276.0,212.0,11701.2,11916.1,595.0,520.0
2n45_3,4,11511.5,12002.5,303.0,258.0,12505.2,12897.8,553.0,495.0,13004.4,14114.5,524.0,462.0,13721.2,13788.0,428.0,320.0
2n45_4,5,12716.5,12716.5,541.0,502.0,13769.3,13823.8,448.0,383.0,14387.7,14618.4,987.0,921.0,15617.4,15899.1,768.0,647.0
2n50_1,2,10845.9,12172.5,346.0,287.0,11040.4,11078.6,354.0,297.0,11109.5,11174.1,237.0,166.0,11413.4,11469.2,305.0,225.0
2n50_2,3,12540.9,13052.2,529.0,464.0,12962.8,14569.9,575.0,502.0,13247.8,13484.7,402.0,322.0,13326.5,13653.9,311.0,219.0
2n50_3,4,13991.0,14425.2,319.0,271.0,14651.7,15325.5,553.0,485.0,15055.0,15111.6,339.0,245.0,15291.2,15566.4,273.0,150.0
2n50_4,5,15414.0,15626.7,238.0,186.0,16372.9,17295.8,465.0,392.0,17222.5,17653.1,340.0,244.0,17433.4,17674.1,545.0,400.0
3n10_1,2,3612.02,3612.02,8.0,2.0,4067.64,4076.48,8.0,0.0,4408.13,4506.67,19.0,9.0,5104.48,5104.48,16.0,3.0
3n10_2,3,3757.41,3783.91,7.0,1.0,4760.48,4864.63,16.0,6.0,5168.85,5237.2,22.0,9.0,6045.23,6046.7,49.0,29.0
3n10_3,4,3920.39,3920.39,14.0,5.0,5010.36,5039.58,14.0,3.0,5961.26,5961.26,15.0,2.0,7079.66,7093.36,96.0,72.0
3n10_4,5,4032.0,4032.0,9.0,0.0,5364.16,5364.16,14.0,2.0,6282.64,6299.77,24.0,7.0,8067.92,8068.01,79.0,50.0
3n15_1,2,5318.14,5462.29,16.0,6.0,5840.2,5968.11,46.0,31.0,6214.45,6616.57,40.0,23.0,6833.14,6933.44,66.0,47.0
3n15_2,3,5675.7,5688.66,18.0,5.0,6500.6,6757.04,36.0,18.0,6948.35,7266.56,76.0,54.0,7922.85,7932.09,133.0,107.0
3n15_3,4,5892.99,5897.31,54.0,36.0,7007.6,7208.8,52.0,29.0,7621.89,7756.56,74.0,48.0,8947.49,8948.09,171.0,139.0
3n15_4,5,6093.98,6094.07,81.0,52.0,7391.7,7395.23,84.0,53.0,8314.17,8328.06,129.0,92.0,9928.66,9956.25,118.0,77.0
3n20_1,2,5405.16,5720.5,33.0,16.0,5862.93,5992.81,52.0,33.0,6208.93,6214.96,66.0,44.0,7033.51,7058.65,119.0,94.0
3n20_2,3,6053.96,6244.03,40.0,20.0,6610.2,6610.2,143.0,117.0,6990.03,7009.46,111.0,85.0,7971.04,7971.04,107.0,79.0
3n20_3,4,6407.97,6445.29,39.0,18.0,7300.7,7426.94,84.0,59.0,7736.95,7927.28,64.0,29.0,8833.53,8833.74,135.0,99.0
3n20_4,5,6569.58,6569.58,68.0,43.0,8061.09,8061.09,109.0,96.0,8554.4,8639.42,138.0,101.0,9965.78,10014.3,297.0,245.0
3n25_1,2,7513.62,7903.17,86.0,63.0,8060.68,8378.07,176.0,149.0,8355.99,8646.37,116.0,88.0,8509.95,8547.31,149.0,121.0
3n25_2,3,8576.72,8827.5,87.0,58.0,9343.89,9390.37,165.0,132.0,9787.51,10050.6,313.0,281.0,10194.5,10344.6,226.0,185.0
3n25_3,4,9514.72,9683.95,94.0,68.0,10720.0,10907.7,189.0,160.0,11257.3,11257.3,363.0,340.0,11939.7,12159.7,271.0,218.0
3n25_4,5,10254.6,10265.2,115.0,90.0,11979.8,12246.6,215.0,184.0,12783.7,12783.7,302.0,279.0,14000.3,14199.3,320.0,254.0
3n30_1,2,7665.55,7822.45,93.0,61.0,7927.87,7927.87,93.0,68.0,8079.32,8096.18,97.0,67.0,8203.89,8396.38,130.0,100.0
3n30_2,3,8342.23,8475.11,172.0,132.0,8749.05,8977.76,309.0,264.0,8944.58,9061.71,216.0,171.0,9101.53,9154.28,154.0,104.0
3n30_3,4,8993.43,9090.54,275.0,231.0,9536.43,9811.29,185.0,142.0,9792.87,9797.1,228.0,175.0,9979.45,10037.3,311.0,250.0
3n30_4,5,9766.95,9944.97,270.0,225.0,10503.1,10588.6,332.0,277.0,10790.3,10845.2,302.0,243.0,11030.8,11048.3,494.0,418.0
3n35_1,2,9328.69,10055.6,180.0,140.0,9510.28,10743.8,117.0,79.0,9550.67,10256.6,226.0,185.0,9785.3,9814.96,219.0,179.0
3n35_2,3,10519.6,11196.1,208.0,165.0,10934.8,12326.3,333.0,288.0,11237.2,11420.4,171.0,116.0,11293.9,11300.7,403.0,344.0
3n35_3,4,11907.1,12122.0,291.0,252.0,12494.2,13886.7,396.0,352.0,12794.7,12897.5,275.0,220.0,13090.8,13355.4,517.0,435.0
3n35_4,5,13201.3,13564.3,123.0,80.0,13999.5,14320.8,398.0,345.0,14511.3,14746.1,370.0,310.0,14964.2,15103.3,649.0,542.0
3n40_1,2,8508.21,8599.86,213.0,175.0,8899.99,9091.21,210.0,171.0,9040.5,9511.0,275.0,234.0,9227.24,9287.15,186.0,140.0
3n40_2,3,8994.89,9067.58,281.0,233.0,9550.83,9563.87,272.0,221.0,9740.79,10012.8,164.0,102.0,9946.65,9993.75,270.0,204.0
3n40_3,4,9858.94,9990.22,301.0,238.0,10330.1,10400.7,472.0,406.0,10590.8,10590.8,261.0,203.0,10812.6,10882.1,467.0,389.0
3n40_4,5,10605.6,10803.9,460.0,396.0,11156.4,11156.9,668.0,605.0,11468.3,11578.9,451.0,367.0,11784.0,11899.9,542.0,445.0
3n45_1,2,8765.47,9165.51,178.0,135.0,9109.63,9236.01,207.0,163.0,9266.29,9399.8,227.0,181.0,9588.48,9588.48,224.0,174.0
3n45_2,3,9342.33,9604.85,386.0,317.0,9629.98,9684.64,401.0,333.0,9821.15,10008.8,305.0,230.0,10143.8,10240.9,553.0,492.0
3n45_3,4,9965.25,10241.3,347.0,281.0,10327.0,11278.7,553.0,486.0,10562.5,10784.4,376.0,291.0,10858.9,10897.9,386.0,302.0
3n45_4,5,10657.7,10701.3,467.0,391.0,11116.3,11278.6,359.0,276.0,11357.8,11748.2,458.0,366.0,11629.5,11631.0,566.0,467.0
3n50_1,2,10066.6,10281.8,155.0,112.0,10398.5,10440.0,231.0,184.0,10509.3,10845.8,347.0,279.0,10782.0,10942.9,424.0,350.0
3n50_2,3,11069.6,11230.8,242.0,187.0,11514.9,11914.1,521.0,441.0,11713.3,12055.4,272.0,176.0,11949.6,11991.4,339.0,233.0
3n50_3,4,12057.2,12369.3,554.0,481.0,12804.3,13709.4,453.0,372.0,13049.9,13376.5,513.0,415.0,13442.4,13590.4,432.0,293.0
3n50_4,5,13203.2,13565.9,360.0,285.0,14201.1,14696.7,601.0,513.0,14795.0,14866.0,407.0,295.0,14835.7,15117.4,565.0,412.0
