"CO=LC,H=6",,\rho=50,,,,\rho=75,,,,\rho=100,,,,\rho=300,,,
Instance,K,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST
5n35_3,4,9432.33,9761.72,177.0,134.0,10302.6,10814.5,453.0,400.0,10912.2,11229.8,163.0,99.0,11266.0,11564.3,389.0,304.0
5n35_4,5,10109.0,10331.7,226.0,180.0,11267.8,11575.2,440.0,388.0,11816.8,11931.7,307.0,241.0,12485.7,12569.9,495.0,399.0
5n40_1,2,8648.73,9480.23,236.0,192.0,8928.4,9183.43,329.0,284.0,8986.78,9030.88,204.0,144.0,9056.31,9211.75,291.0,233.0
5n40_2,3,9754.76,9955.84,235.0,175.0,9970.7,10166.4,212.0,153.0,10142.3,10419.9,365.0,298.0,10146.5,10473.3,418.0,347.0
5n40_3,4,10653.9,11029.3,406.0,352.0,11131.2,11974.6,553.0,487.0,11319.0,11462.7,510.0,412.0,11322.0,11525.5,370.0,276.0
5n40_4,5,11595.3,11874.3,337.0,279.0,12360.4,12876.3,402.0,339.0,12634.8,12955.2,526.0,440.0,12761.4,12875.4,472.0,360.0
5n45_1,2,8465.3,8712.69,222.0,179.0,8626.44,8866.28,252.0,203.0,8727.94,9255.85,201.0,150.0,9196.43,9300.44,203.0,147.0
5n45_2,3,9119.24,9247.21,282.0,220.0,9310.76,9535.67,423.0,355.0,9471.2,9725.2,339.0,266.0,9789.79,9807.27,229.0,166.0
5n45_3,4,9910.04,10034.9,481.0,415.0,10106.6,10647.3,320.0,238.0,10230.6,10546.0,863.0,783.0,10524.4,10618.9,458.0,363.0
5n45_4,5,10595.7,11003.0,294.0,212.0,10874.4,11006.9,518.0,437.0,11013.4,11048.7,685.0,590.0,11284.2,11284.2,944.0,855.0
5n50_1,2,10166.5,11357.7,168.0,110.0,10318.7,10477.0,252.0,189.0,10412.0,11091.1,390.0,312.0,10532.2,10785.0,349.0,276.0
5n50_2,3,11540.0,13231.4,469.0,396.0,11994.3,12643.8,364.0,285.0,12066.0,12634.9,363.0,273.0,12254.9,12568.1,462.0,366.0
5n50_3,4,12916.3,12969.6,447.0,377.0,13603.6,14624.6,466.0,374.0,13897.7,15821.0,674.0,573.0,14094.3,14576.8,566.0,445.0
5n50_4,5,14242.7,14334.4,321.0,247.0,15225.6,16747.7,745.0,652.0,15840.5,15986.8,333.0,228.0,15958.1,16190.1,906.0,756.0
