Detailed results on small-scaled data with CO=HC and T=6,,,,,,,,,,,,,,,,,,,
Instance,Best,sCCJ,Gap,tCCJ,sKS,Gap,tKS,DIMACS,sALNS,Gap,sBCHeu,Gap,,sHGS,Gap,tHGS,BST,CostAvg,GapAvg
5n10_3,9884.53,10407.85,5.29,10.63,9892.08,0.07,114,9884.53,9884.53,0.0,9884.53,0.0,,9884.53,0.0,186.0,186.0,9884.53,0.0
5n10_4,10655.37,11292.85,5.98,11.46,10668.1,0.12,129,10655.37,10661.07,0.05,10661.07,0.05,,10657.5,0.02,621.0,621.0,10664.48,0.09
5n10_5,11432.09,-,-,-,11432.1,0.00,102,11432.09,11432.09,0.0,11432.09,0.0,,11432.1,0.0,495.0,495.0,11432.1,0.0
1n15_2,11579.09,11725.01,1.26,49.9,11631.1,0.45,186,11579.09,11579.09,0.0,11579.09,0.0,,11579.6,0.0,614.0,614.0,11580.61,0.01
1n15_3,12472.05,12800.81,2.64,38.1,12478.8,0.05,275,12472.05,12478.77,0.05,12472.05,0.0,,12472.0,0.0,1129.0,1129.0,12484.02,0.1
1n15_4,13365.21,14357.31,7.42,38.75,13448.9,0.63,146,13365.21,13390.49,0.19,13376.69,0.09,,13365.2,0.0,1974.0,1974.0,13376.11,0.08
1n15_5,14376.27,15110.21,5.11,27.27,14461,0.59,565,14376.27,14400.23,0.17,14376.27,0.0,,14408.0,0.22,1668.0,1369.0,14438.28,0.43
2n15_2,11553.83,11752.12,1.72,38.32,11608.2,0.47,117,11553.83,11553.83,0.0,11553.83,0.0,,11553.8,0.0,253.0,253.0,11553.86,0.0
2n15_3,12497.79,13158.62,5.29,36.48,12530.8,0.26,140,12497.79,12514.22,0.13,12514.22,0.13,,12498.4,0.0,787.0,651.0,12506.74,0.07
2n15_4,13514.69,14083.72,4.21,890.96,13542,0.20,154,13514.69,13531.0,0.12,13514.69,0.0,,13545.3,0.23,793.0,611.0,13563.77,0.36
2n15_5,14462.98,15581.92,7.74,25.55,14484.1,0.15,169,14462.98,14475.43,0.09,14462.98,0.0,,14466.5,0.02,988.0,799.0,14466.5,0.02
3n15_2,13241.2,13503.93,1.98,50.47,13280.3,0.30,267,13241.2,13241.2,0.0,13258.17,0.13,,13241.2,0.0,226.0,226.0,13242.35,0.01
3n15_3,14379.38,14927.93,3.81,43.01,14470.3,0.63,144,14379.38,14395.97,0.12,14379.38,0.0,,14382.7,0.02,326.0,326.0,14394.67,0.11
3n15_4,15499.6,16131.03,4.07,31.24,15535.8,0.23,210,15499.6,15499.6,0.0,15512.08,0.08,,15499.6,0.0,901.0,706.0,15500.39,0.01
3n15_5,16633.81,17263.33,3.78,23.92,16670.9,0.22,110,16633.81,16633.81,0.0,16633.81,0.0,,16633.8,0.0,1349.0,1101.0,16639.34,0.03
4n15_2,10476.25,10884.32,3.90,35.01,10492.4,0.15,97,10476.25,10476.25,0.0,10476.25,0.0,,10476.4,0.0,578.0,578.0,10476.75,0.0
4n15_3,11503.88,12116.42,5.32,34.66,11548.8,0.39,143,11503.88,11503.88,0.0,11503.88,0.0,,11503.9,0.0,618.0,618.0,11509.52,0.05
4n15_4,12699.46,13914.72,9.57,52.19,12829.4,1.02,219,12699.46,12699.46,0.0,12783.01,0.66,,12761.6,0.49,706.0,706.0,12781.26,0.64
4n15_5,13748.46,15188.42,10.47,18.48,13797.7,0.36,109,13748.46,13750.19,0.01,13750.19,0.01,,13798.4,0.36,884.0,664.0,13814.14,0.48
