Detailed results on small-scaled data with CO=HC and T=6,,,,,,,,,,,,,,,,,,,
Instance,Best,sCCJ,Gap,tCCJ,sKS,Gap,tKS,DIMACS,sALNS,Gap,sBCHeu,Gap,,sHGS,Gap,tHGS,BST,CostAvg,GapAvg
1n45_4,27062.94,-,-,-,-,-,-,27062.94,27072.91,0.04,27147.75,0.31,,26978.0,-0.31,4490.0,4490.0,27031.81,-0.12
1n45_5,28476.85,-,-,-,-,-,-,28476.85,28722.05,0.86,28476.85,0.0,,28508.7,0.11,2515.0,2515.0,28548.69,0.25
2n45_2,24532.93,-,-,-,-,-,-,24532.93,24828.37,1.2,24662.45,0.53,,24517.7,-0.06,1331.0,1113.0,24531.3,-0.01
2n45_3,26229.48,-,-,-,-,-,-,26229.48,26229.48,0.0,26289.79,0.23,,26226.6,-0.01,3678.0,3678.0,26271.57,0.16
2n45_4,28163.64,-,-,-,-,-,-,28163.64,28440.96,0.98,28163.64,0.0,,28058.7,-0.37,2669.0,2669.0,28096.39,-0.24
2n45_5,29980.22,-,-,-,-,-,-,29980.22,30211.57,0.77,30090.36,0.37,,29981.1,0.0,4966.0,4966.0,30028.28,0.16
3n45_2,25197.87,-,-,-,-,-,-,25197.87,25225.26,0.11,25210.63,0.05,,25199.3,0.01,1564.0,1564.0,25201.41,0.01
3n45_3,25756.35,-,-,-,-,-,-,25756.35,25801.2,0.17,25756.35,0.0,,25756.9,0.0,4589.0,4589.0,25758.78,0.01
3n45_4,26520.5,-,-,-,-,-,-,26520.5,26586.95,0.25,26520.5,0.0,,26448.1,-0.27,1935.0,1542.0,26493.34,-0.1
3n45_5,27147.36,-,-,-,-,-,-,27147.36,27252.79,0.39,27221.34,0.27,,27189.9,0.16,3382.0,2935.0,27219.7,0.27
4n45_2,25335.88,-,-,-,-,-,-,25335.88,25382.19,0.18,25494.23,0.63,,25342.0,0.02,2174.0,2174.0,25355.85,0.08
4n45_3,26795.41,-,-,-,-,-,-,26795.41,26855.69,0.22,26805.37,0.04,,26768.3,-0.1,3713.0,3055.0,26825.89,0.11
4n45_4,28352.51,-,-,-,-,-,-,28352.51,28647.72,1.04,28352.51,0.0,,28350.1,-0.01,4287.0,3853.0,28376.21,0.08
4n45_5,30044.69,-,-,-,-,-,-,30044.69,30108.41,0.21,30044.69,0.0,,29931.1,-0.38,7003.0,7002.0,30028.4,-0.05
5n45_2,24943.83,-,-,-,-,-,-,24943.83,24943.83,0.0,25007.0,0.25,,24951.6,0.03,3026.0,3026.0,24965.2,0.09
5n45_3,25547.28,-,-,-,-,-,-,25547.28,25658.36,0.43,25626.53,0.31,,25548.4,0.0,2152.0,1855.0,25561.67,0.06
5n45_4,26316.96,-,-,-,-,-,-,26316.96,26316.96,0.0,26327.86,0.04,,26275.3,-0.16,3517.0,2634.0,26310.17,-0.03
5n45_5,27047.13,-,-,-,-,-,-,27047.13,27201.92,0.57,27115.25,0.25,,27026.2,-0.08,2607.0,1966.0,27088.2,0.15
1n50_2,28200.07,-,-,-,-,-,-,28200.07,28254.51,0.19,28259.0,0.21,,28200.1,0.0,1577.0,1286.0,28220.54,0.07
1n50_3,29903.9,-,-,-,-,-,-,29903.9,29913.16,0.03,30032.9,0.4,,29884.3,-0.07,4291.0,4269.0,29933.58,0.1
1n50_4,31856.77,-,-,-,-,-,-,31856.77,32243.73,1.21,31856.77,0.0,,31890.5,0.11,4841.0,4841.0,32014.73,0.5
1n50_5,34082.12,-,-,-,-,-,-,34082.12,34337.21,0.75,34149.96,0.2,,34007.0,-0.22,7200.0,7200.0,34064.17,-0.05
2n50_2,27848.92,-,-,-,-,-,-,27848.92,27852.16,0.01,27848.92,0.0,,27824.1,-0.09,2989.0,2989.0,27861.96,0.05
2n50_3,29653.4,-,-,-,-,-,-,29653.4,29699.44,0.16,29740.77,0.29,,29665.9,0.04,2028.0,1649.0,29708.62,0.19
2n50_4,31525.17,-,-,-,-,-,-,31525.17,31525.17,0.0,31528.97,0.01,,31561.0,0.11,6934.0,6934.0,31640.91,0.37
2n50_5,33558.14,-,-,-,-,-,-,33558.14,33747.37,0.56,33558.14,0.0,,33558.0,0.0,6974.0,6974.0,33649.42,0.27
3n50_2,27231.42,-,-,-,-,-,-,27231.42,27342.1,0.41,27387.45,0.57,,27242.4,0.04,3110.0,3110.0,27257.29,0.1
3n50_3,28491.56,-,-,-,-,-,-,28491.56,28529.34,0.13,28491.56,0.0,,28364.8,-0.44,3077.0,3077.0,28409.84,-0.29
3n50_4,29743.07,-,-,-,-,-,-,29743.07,29743.07,0.0,29757.88,0.05,,29734.1,-0.03,5560.0,5560.0,29763.36,0.07
3n50_5,31129.38,-,-,-,-,-,-,31129.38,31295.8,0.53,31129.38,0.0,,31204.6,0.24,2628.0,2193.0,31291.23,0.52
4n50_2,28885.88,-,-,-,-,-,-,28885.88,29316.77,1.49,29050.6,0.57,,28871.0,-0.05,1763.0,1247.0,28879.15,-0.02
4n50_3,30750.17,-,-,-,-,-,-,30750.17,30798.71,0.16,30860.98,0.36,,30701.1,-0.16,4094.0,4094.0,30724.72,-0.08
4n50_4,32944.84,-,-,-,-,-,-,32944.84,33065.31,0.37,32983.77,0.12,,32817.5,-0.39,3703.0,2630.0,33003.18,0.18
4n50_5,34798.23,-,-,-,-,-,-,34798.23,35071.01,0.78,34798.23,0.0,,34903.4,0.3,6895.0,6895.0,35052.66,0.73
5n50_2,26948.67,-,-,-,-,-,-,26948.67,26948.67,0.0,26973.95,0.09,,26960.2,0.04,3165.0,3165.0,26970.56,0.08
5n50_3,28557.76,-,-,-,-,-,-,28557.76,28752.68,0.68,28630.02,0.25,,28578.1,0.07,1615.0,1172.0,28630.4,0.25
5n50_4,30276.43,-,-,-,-,-,-,30276.43,30604.56,1.08,30276.43,0.0,,30377.27,0.33,4215.0,3025.0,30459.59,0.6
5n50_5,32024.22,-,-,-,-,-,-,32024.22,32307.71,0.89,32024.22,0.0,,32129.1,0.33,5870.0,5173.0,32297.55,0.85
