"CO=HC, H=6",,\rho=50,,,,\rho=75,,,,\rho=100,,,,\rho=300,,,
Instance,K,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST
2n10_3,4,12656.6,12849.0,93.0,60.0,12681.4,12685.4,109.0,70.0,12681.9,12921.01,74.0,36.0,12682.8,12684.8,123.0,83.0
2n10_4,5,14209.1,14238.3,114.0,68.0,14220.5,14402.4,204.0,157.0,14245.7,14566.21,119.0,65.0,14405.5,14423.3,130.0,65.0
2n15_1,2,11552.4,11746.6,78.0,58.0,11552.4,11687.1,59.0,39.0,11553.8,12063.32,63.0,41.0,11552.4,11631.8,37.0,15.0
2n15_2,3,12482.9,12564.1,133.0,104.0,12493.0,12525.6,154.0,124.0,12519.2,12896.91,168.0,138.0,12519.3,12533.4,174.0,143.0
2n15_3,4,13597.3,13597.3,174.0,155.0,13586.2,13898.9,104.0,64.0,13583.3,14159.81,106.0,63.0,13603.6,13622.4,106.0,65.0
2n15_4,5,14477.8,14599.4,246.0,186.0,14468.4,14613.2,250.0,191.0,14480.1,14708.03,215.0,150.0,14476.6,14482.9,404.0,340.0
2n20_1,2,13603.2,13844.8,94.0,65.0,13593.3,13706.7,111.0,82.0,13596.9,13845.19,105.0,76.0,13604.6,13653.4,66.0,40.0
2n20_2,3,14128.4,14267.2,156.0,125.0,14128.4,14154.6,159.0,128.0,14132.6,14480.59,161.0,125.0,14128.4,14161.7,116.0,87.0
2n20_3,4,14805.9,14820.6,182.0,141.0,14805.7,15082.2,212.0,171.0,14809.1,15253.85,169.0,128.0,14807.7,14808.0,222.0,182.0
2n20_4,5,15506.3,15510.6,256.0,201.0,15500.3,15506.6,251.0,198.0,15492.5,15817.04,246.0,198.0,15515.4,15520.6,257.0,208.0
2n25_1,2,16094.7,16178.6,233.0,200.0,16091.5,16109.4,219.0,186.0,16092.5,16839.76,112.0,77.0,16097.0,16098.8,138.0,103.0
2n25_2,3,17513.2,17758.2,214.0,176.0,17539.8,17566.8,198.0,146.0,17520.1,17885.91,254.0,204.0,17545.1,17546.5,165.0,116.0
2n25_3,4,18904.8,19431.3,282.0,222.0,18899.0,19283.3,266.0,198.0,18863.9,19418.03,347.0,285.0,18871.7,19112.9,336.0,270.0
2n25_4,5,20517.9,20745.0,603.0,514.0,20469.1,20539.4,547.0,452.0,20459.8,21500.16,643.0,559.0,20440.4,20677.5,543.0,456.0
2n30_1,2,18724.5,19074.9,133.0,94.0,18726.1,18815.9,163.0,123.0,18721.4,19228.93,178.0,141.0,18726.7,18803.9,146.0,109.0
2n30_2,3,19775.4,19894.0,286.0,233.0,19754.4,19906.3,325.0,263.0,19754.4,20367.62,440.0,385.0,19755.8,19869.1,322.0,271.0
2n30_3,4,20908.2,21332.5,269.0,194.0,20888.4,21040.2,349.0,286.0,20897.7,21423.15,479.0,413.0,20908.2,20987.6,526.0,461.0
2n30_4,5,22100.2,22263.0,553.0,460.0,22133.6,22325.5,684.0,597.0,22119.6,22560.49,469.0,395.0,22131.8,22207.9,453.0,381.0
2n35_1,2,19269.6,19514.7,116.0,71.0,19269.1,19413.5,210.0,167.0,19268.5,19667.17,121.0,75.0,19271.3,19375.8,165.0,118.0
2n35_2,3,20114.7,20567.4,393.0,335.0,20117.7,20326.1,250.0,197.0,20122.8,20778.3,401.0,345.0,20116.4,20246.6,228.0,174.0
2n35_3,4,21069.8,21130.3,427.0,363.0,21071.9,21100.3,311.0,249.0,21094.1,21469.27,225.0,161.0,21100.8,21116.5,331.0,266.0
2n35_4,5,22174.6,22565.0,435.0,354.0,22255.7,22403.3,365.0,286.0,22173.6,23030.75,341.0,254.0,22151.4,22382.9,508.0,432.0
2n40_1,2,20210.2,20470.7,221.0,177.0,20208.2,20418.9,359.0,309.0,20200.9,20913.94,279.0,229.0,20210.5,20436.5,266.0,218.0
2n40_2,3,21180.0,21429.9,325.0,258.0,21180.3,21379.2,215.0,154.0,21169.3,21681.84,391.0,327.0,21184.0,21262.4,397.0,336.0
2n40_3,4,22547.5,23011.2,517.0,442.0,22541.0,22862.4,426.0,351.0,22514.6,23316.15,367.0,294.0,22603.6,22708.7,233.0,151.0
2n40_4,5,23983.0,24254.0,649.0,556.0,24110.9,24424.1,655.0,560.0,23942.5,24664.81,808.0,708.0,23950.3,24271.6,454.0,358.0
2n45_1,2,24522.0,24908.8,378.0,325.0,24519.2,25262.3,311.0,261.0,24520.3,25693.4,371.0,320.0,24518.8,24611.2,252.0,205.0
2n45_2,3,26278.2,26777.2,392.0,324.0,26273.7,26817.1,434.0,356.0,26246.8,26991.88,440.0,366.0,26257.5,26288.7,423.0,346.0
2n45_3,4,28201.8,29078.5,401.0,294.0,28182.3,29022.5,811.0,713.0,28149.0,29567.64,662.0,566.0,28182.4,28579.0,519.0,413.0
2n45_4,5,30288.1,30750.9,528.0,379.0,30312.7,30603.4,542.0,407.0,30196.2,31399.22,583.0,442.0,30313.4,30525.2,570.0,438.0
2n50_1,2,27843.2,28279.3,304.0,227.0,27839.7,28093.2,454.0,380.0,27834.5,28497.88,451.0,375.0,27845.5,27881.8,405.0,330.0
2n50_2,3,29708.5,30196.3,617.0,521.0,29783.9,30490.6,624.0,520.0,29736.2,30843.05,529.0,448.0,29794.8,30011.9,376.0,286.0
2n50_3,4,31765.5,31997.1,464.0,339.0,31752.8,31916.9,442.0,313.0,31697.9,32888.3,578.0,453.0,31660.7,31932.2,542.0,422.0
2n50_4,5,33871.7,34698.5,782.0,607.0,33891.8,34312.2,802.0,655.0,33841.7,35004.71,1068.0,919.0,33952.7,34658.6,478.0,324.0
3n10_1,2,8447.67,8682.01,21.0,5.0,8447.67,8700.8,42.0,28.0,8445.51,8904.0,30.0,15.0,8447.67,8484.59,17.0,3.0
3n10_2,3,9362.46,9411.82,35.0,12.0,9362.46,9406.65,36.0,16.0,9357.14,9789.33,62.0,42.0,9362.46,9362.46,29.0,7.0
3n10_3,4,10454.9,10484.4,57.0,24.0,10454.4,10479.4,101.0,70.0,10447.9,10672.54,108.0,75.0,10461.4,10475.0,80.0,47.0
3n10_4,5,11492.8,11536.4,170.0,133.0,11480.0,11502.1,79.0,37.0,11500.3,11695.7,122.0,70.0,11527.8,11539.5,100.0,56.0
3n15_1,2,13243.0,13878.5,44.0,24.0,13242.0,13708.2,62.0,43.0,13241.2,13859.0,66.0,46.0,13242.0,13330.4,56.0,35.0
3n15_2,3,14395.7,14743.7,211.0,180.0,14395.7,14405.6,114.0,86.0,14396.2,14889.04,145.0,114.0,14395.7,14418.3,169.0,137.0
3n15_3,4,15498.2,15714.2,141.0,98.0,15473.9,15529.4,177.0,131.0,15500.4,15819.48,234.0,187.0,15501.0,15518.8,140.0,97.0
3n15_4,5,16640.4,17082.5,173.0,110.0,16642.4,16667.7,373.0,309.0,16638.7,16817.69,288.0,224.0,16645.3,16650.5,179.0,115.0
3n20_1,2,13753.8,13755.7,97.0,78.0,13774.3,13957.7,67.0,43.0,13774.3,14190.61,65.0,40.0,13774.3,13774.3,82.0,57.0
3n20_2,3,14657.0,15286.6,134.0,101.0,14731.6,14768.7,147.0,112.0,14747.7,15204.89,137.0,99.0,14746.8,14749.5,121.0,83.0
3n20_3,4,15624.0,15717.5,213.0,172.0,15702.6,15748.8,188.0,162.0,15712.1,16316.91,182.0,137.0,15735.1,15749.3,182.0,134.0
3n20_4,5,16780.2,16942.1,179.0,120.0,16806.0,16874.2,402.0,340.0,16807.6,17245.72,207.0,150.0,16805.7,16846.6,422.0,359.0
3n25_1,2,17364.6,17691.7,119.0,81.0,17363.8,18043.5,103.0,72.0,17364.3,18614.28,165.0,130.0,17365.1,17406.2,129.0,96.0
3n25_2,3,19028.7,19509.2,319.0,271.0,19036.5,19881.3,195.0,149.0,19019.2,20165.52,319.0,274.0,19035.3,19035.3,216.0,185.0
3n25_3,4,20854.2,21301.9,344.0,260.0,20872.4,20990.1,204.0,135.0,20890.3,21451.69,234.0,165.0,20923.3,20949.2,156.0,84.0
