"CO=HC, H=6",,\rho=50,,,,\rho=75,,,,\rho=100,,,,\rho=300,,,
Instance,K,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST
5n35_2,3,20983.2,21139.5,310.0,245.0,20987.6,21164.2,292.0,224.0,20967.7,21749.42,257.0,191.0,20989.2,21261.3,448.0,380.0
5n35_3,4,22351.8,22534.0,465.0,378.0,22332.4,22695.5,355.0,267.0,22315.7,23084.6,273.0,179.0,22298.8,22595.6,359.0,268.0
5n35_4,5,23538.5,24289.1,682.0,570.0,23510.5,24221.6,554.0,436.0,23519.5,24590.1,533.0,425.0,23481.7,23736.7,480.0,373.0
5n40_1,2,22876.8,23017.5,363.0,304.0,22893.9,23122.9,234.0,170.0,22853.1,23483.86,166.0,105.0,22883.7,22973.6,216.0,153.0
5n40_2,3,23942.0,24268.1,387.0,310.0,23930.4,24567.6,361.0,288.0,23928.9,25056.23,404.0,335.0,23938.4,24067.5,483.0,410.0
5n40_3,4,25172.2,25437.6,370.0,278.0,25158.2,25604.8,498.0,406.0,25120.4,26068.54,506.0,411.0,25161.9,25393.0,471.0,373.0
5n40_4,5,26554.5,26694.7,372.0,278.0,26579.2,26875.1,633.0,515.0,26555.8,27124.03,980.0,852.0,26515.9,26902.1,758.0,635.0
5n45_1,2,24955.0,25179.3,209.0,155.0,24944.9,25176.9,265.0,207.0,24958.4,25487.95,296.0,242.0,24955.0,25048.7,206.0,157.0
5n45_2,3,25562.8,25648.6,251.0,185.0,25568.4,25750.2,318.0,247.0,25553.4,26299.68,366.0,297.0,25543.2,25569.4,331.0,260.0
5n45_3,4,26310.9,26479.8,1002.0,916.0,26319.2,26446.5,669.0,573.0,26302.5,26675.53,823.0,733.0,26327.0,26354.8,442.0,363.0
5n45_4,5,27129.8,27129.8,617.0,527.0,27108.4,27229.8,563.0,461.0,27133.8,27734.79,596.0,492.0,27070.4,27165.3,559.0,453.0
5n50_1,2,26976.2,27752.1,439.0,360.0,26979.1,27488.3,497.0,425.0,26962.6,27663.51,536.0,458.0,26974.0,27318.2,358.0,281.0
5n50_2,3,28673.5,29150.1,510.0,409.0,28699.8,29321.4,534.0,435.0,28646.9,29544.59,466.0,370.0,28731.8,29097.2,363.0,261.0
5n50_3,4,30518.0,30826.6,762.0,624.0,30565.0,31218.5,552.0,419.0,30480.5,31708.81,585.0,455.0,30590.4,31119.9,471.0,338.0
5n50_4,5,32372.3,32994.9,552.0,423.0,32413.0,33013.0,482.0,296.0,32274.0,33274.96,454.0,287.0,32413.9,32818.0,599.0,442.0
