Detailed results on small-scaled data with CO=HC and T=3,,,,,,,,,,,,,,,,,,,
Instance,Best,sCCJ,Gap,tCCJ,sKS,Gap,tKS,BestDIMACS,sALNS,Gap,sBCHeu,Gap,,sHGS,Gapb,tHGS,BST,CostAvg,GapAvg
4n10_5,5717.36,6102.35,6.73,4.27,5717.36,0.0,114.0,5717.36,5717.36,0.0,5717.36,0.0,,5717.36,0.00,106.0,63.0,5717.36,0.0
5n10_2,4113.44,4250.51,3.33,5.22,4113.44,0.0,2.0,4113.44,4113.44,0.0,4113.44,0.0,,4113.44,0.00,23.0,0.0,4113.44,0.0
5n10_3,4407.1,4407.1,0.0,3.54,4407.1,0.0,113.0,4407.1,4407.1,0.0,4407.1,0.0,,4407.1,0.0,33.0,0.0,4407.1,0.0
5n10_4,4827.04,4891.12,1.33,3.78,4827.04,0.0,109.0,4827.04,4827.04,0.0,4827.04,0.0,,4827.04,0.00,52.0,1.0,4827.04,0.0
5n10_5,4954.12,5110.89,3.16,3.46,4954.12,0.0,107.0,4954.12,4954.12,0.0,4954.12,0.0,,4954.12,0.00,52.0,0.0,4954.12,0.0
1n15_2,4802.37,4802.37,0.0,12.87,4802.57,0.0,79.0,4802.57,4802.57,0.0,4802.57,0.0,,4802.57,0.00,40.0,0.0,4802.57,0.0
1n15_3,5289.53,5299.17,0.18,14.84,5289.53,0.0,98.0,5289.53,5289.53,0.0,5289.53,0.0,,5289.53,0.00,47.0,4.0,5289.53,0.0
1n15_4,5658.34,5700.21,0.74,11.18,5658.34,0.0,115.0,5658.34,5658.34,0.0,5658.34,0.0,,5658.34,0.00,70.0,2.0,5658.34,0.0
1n15_5,6071.3,6096.63,0.42,11.15,6071.3,0.0,128.0,6071.3,6071.3,0.0,6071.3,0.0,,6071.3,0.0,83.0,11.0,6071.3,0.0
2n15_2,4932.98,4942.82,0.2,10.69,4932.98,0.0,89.0,4932.98,4932.98,0.0,4932.98,0.0,,4932.98,0.00,35.0,0.0,4932.98,0.0
2n15_3,5150.55,5272.42,2.37,10.09,5150.55,0.0,107.0,5150.55,5150.55,0.0,5150.55,0.0,,5150.55,0.00,43.0,0.0,5150.55,0.0
2n15_4,5785.16,5842.08,0.98,10.25,5785.16,0.0,126.0,5785.16,5785.16,0.0,5785.16,0.0,,5785.16,0.00,64.0,1.0,5785.16,0.0
2n15_5,6273.59,6484.13,3.36,8.46,6273.59,0.0,158.0,6273.59,6273.59,0.0,6273.59,0.0,,6273.74,0.00,112.0,49.0,6273.82,0.0
3n15_2,5557.79,5574.8,0.31,12.14,5557.79,0.0,105.0,5557.79,5557.79,0.0,5557.79,0.0,,5557.79,0.00,35.0,3.0,5557.79,0.0
3n15_3,5836.99,6006.56,2.91,13.97,5836.99,0.0,109.0,5836.99,5836.99,0.0,5836.99,0.0,,5836.99,0.00,39.0,2.0,5836.99,0.0
3n15_4,6518.63,6656.72,2.12,15.52,6519.61,0.02,136.0,6518.63,6518.63,0.0,6518.63,0.0,,6518.63,0.00,87.0,31.0,6518.93,0.0
3n15_5,6892.46,7088.22,2.84,10.56,6901.87,0.14,148.0,6892.46,6892.46,0.0,6892.46,0.0,,6892.46,0.00,115.0,54.0,6892.46,0.0
4n15_2,4577.72,4591.89,0.31,14.02,4577.72,0.0,109.0,4577.72,4577.72,0.0,4577.72,0.0,,4577.72,0.00,42.0,5.0,4577.72,0.0
4n15_3,4944.26,4947.64,0.07,11.91,4946.64,0.05,108.0,4944.26,4944.26,0.0,4944.26,0.0,,4944.26,0.00,43.0,3.0,4944.26,0.0
4n15_4,5256.56,5330.68,1.41,11.79,5256.56,0.0,105.0,5256.56,5256.56,0.0,5256.56,0.0,,5256.56,0.00,33.0,1.0,5256.56,0.0
4n15_5,5627.24,5921.41,5.23,8.27,5630.82,0.06,99.0,5627.24,5627.24,0.0,5627.24,0.0,,5627.24,0.00,101.0,47.0,5628.64,0.02
5n15_2,4522.03,4522.03,0.0,12.25,4522.03,0.0,102.0,4522.03,4522.03,0.0,4522.03,0.0,,4522.03,0.00,37.0,0.0,4522.03,0.0
5n15_3,5171.75,5305.87,2.59,10.29,5171.75,0.0,139.0,5171.75,5171.75,0.0,5171.75,0.0,,5171.75,0.00,35.0,1.0,5171.75,0.0
5n15_4,5579.89,5609.1,0.52,8.26,5586.31,0.12,144.0,5579.89,5579.89,0.0,5579.89,0.0,,5579.89,0.00,101.0,38.0,5579.97,0.0
5n15_5,6168.06,6422.39,4.12,7.38,6208.01,0.65,94.0,6168.06,6168.06,0.0,6168.06,0.0,,6168.06,0.00,116.0,64.0,6168.43,0.01
1n20_2,6243.35,6281.79,0.62,25.25,6243.35,0.0,108.0,6243.35,6243.35,0.0,6243.35,0.0,,6243.35,0.00,51.0,6.0,6243.35,0.0
1n20_3,6899.41,6899.41,0.0,23.48,6900.93,0.02,325.0,6899.41,6899.41,0.0,6899.41,0.0,,6899.41,0.00,77.0,9.0,6899.41,0.0
1n20_4,7453.24,7453.24,0.0,25.77,7484.97,0.43,467.0,7453.63,7453.63,0.01,7453.63,0.01,,7453.63,0.01,87.0,2.0,7453.63,0.01
1n20_5,7724.25,7937.2,2.76,21.49,7724.25,0.0,183.0,7724.25,7724.25,0.0,7724.25,0.0,,7724.25,0.00,82.0,4.0,7724.25,0.0
2n20_2,5979.59,5979.59,0.0,21.13,5979.59,0.0,103.0,5979.59,5979.59,0.0,5979.59,0.0,,5979.59,0.00,46.0,4.0,5979.59,0.0
2n20_3,6224.11,6230.06,0.1,23.62,6224.11,0.0,108.0,6224.11,6224.11,0.0,6224.11,0.0,,6224.11,0.00,77.0,27.0,6224.24,0.0
2n20_4,6435.52,6484.54,0.76,27.47,6464.65,0.45,113.0,6435.52,6435.52,0.0,6435.52,0.0,,6435.52,0.00,92.0,21.0,6435.52,0.0
2n20_5,6636.1,6771.61,2.04,21.26,6636.1,0.0,125.0,6636.1,6636.1,0.0,6636.1,0.0,,6636.1,0.0,102.0,10.0,6636.1,0.0
3n20_2,6238.99,6462.09,3.58,32.16,6238.99,0.0,98.0,6238.99,6238.99,0.0,6238.99,0.0,,6238.99,0.00,55.0,0.0,6238.99,0.0
3n20_3,6487.39,6487.39,0.0,28.77,6487.39,0.0,33.0,6487.39,6487.39,0.0,6487.39,0.0,,6487.39,0.00,48.0,2.0,6487.39,0.0
3n20_4,7060.93,7060.93,0.0,26.46,7060.93,0.0,124.0,7060.93,7060.93,0.0,7060.93,0.0,,7060.93,0.00,74.0,1.0,7060.93,0.0
3n20_5,7434.31,7434.31,0.0,25.83,7443.33,0.12,254.0,7434.33,7434.33,0.0,7434.33,0.0,,7434.33,0.00,91.0,9.0,7434.33,0.0
