Detailed results on small-scaled data with CO=HC and T=3,,,,,,,,,,,,,,,,,,,
Instance,Best,sCCJ,Gap,tCCJ,sKS,Gap,tKS,BestDIMACS,sALNS,Gap,sBCHeu,Gap,,sHGS,Gapb,tHGS,BST,CostAvg,GapAvg
3n40_3,11296.69,11296.69,0.0,139.97,11296.9,0.00,229.0,11296.95,11296.95,0.0,11296.95,0.0,,11296.9,0.00,174.0,45.0,11296.9,0.0
3n40_4,11636.03,11662.39,0.23,169.28,11750.7,0.99,798.0,11636.03,11641.29,0.05,11636.03,0.0,,11636.0,-0.00,140.0,61.0,11641.26,0.04
3n40_5,11910.69,11969.99,0.5,173.85,11979.9,0.58,895.0,11910.69,11910.69,0.0,11910.69,0.0,,11910.7,0.00,193.0,184.0,11911.26,0.0
4n40_2,9445.61,9445.61,0.0,129.29,9445.91,0.0,114.0,9445.91,9445.91,0.0,9445.91,0.0,,9445.91,0.00,129.0,22.0,9445.91,0.0
4n40_3,9703.89,9718.01,0.15,136.38,9703.89,0.0,206.0,9703.89,9703.89,0.0,9703.89,0.0,,9703.89,0.00,137.0,26.0,9703.89,0.0
4n40_4,10184.19,10222.41,0.38,161.86,10283.9,0.98,587.0,10184.19,10184.19,0.0,10184.19,0.0,,10185.1,0.01,259.0,181.0,10205.75,0.21
4n40_5,10491.43,10502.71,0.11,161.86,10496.4,0.05,899.0,10491.43,10491.43,0.0,10491.43,0.0,,10491.4,-0.00,281.0,84.0,10491.43,0.0
5n40_2,10723.27,10860.61,1.28,113.19,10723.3,0.00,178.0,10723.27,10723.27,0.0,10723.27,0.0,,10723.3,0.00,87.0,23.0,10723.3,0.0
5n40_3,11168.05,11211.51,0.39,143.96,11252.8,0.76,739.0,11168.05,11191.81,0.21,11196.47,0.25,,11169.3,0.01,168.0,95.0,11194.86,0.24
5n40_4,11566.48,11572.81,0.05,161.81,11566.5,0.00,881.0,11566.48,11566.48,0.0,11566.48,0.0,,11566.5,0.00,107.0,25.0,11566.5,0.0
5n40_5,11876.21,11891.81,0.13,132.69,12029.0,1.29,908.0,11876.21,12008.45,1.11,12034.81,1.34,,11876.5,0.00,288.0,87.0,11953.11,0.65
1n45_2,11447.7,11594.67,1.28,132.93,11447.7,0.0,91.0,11447.71,11447.71,8.74,11447.71,8.74,,11447.7,0.0,145.0,25.0,11567.25,1.04
1n45_3,11911.35,11911.37,0.0,172.08,11948.6,0.31,642.0,11911.35,11911.35,0.0,11911.35,0.0,,11912.7,0.01,163.0,72.0,12019.24,0.91
1n45_4,12362.67,12362.67,0.0,180.15,12577.2,1.74,936.0,12363.17,12363.17,0.0,12371.91,0.07,,12363.5,0.01,229.0,139.0,12390.19,0.22
1n45_5,12844.47,12844.47,0.0,184.41,13040.5,1.53,946.0,12844.95,12922.11,0.6,12844.95,0.0,,12844.9,0.00,465.0,248.0,12855.81,0.09
2n45_2,11012.8,11015.89,0.03,184.57,11012.8,0.0,509.0,11012.81,11012.81,9.08,11012.81,9.08,,11012.8,0.0,144.0,33.0,11012.8,0.0
2n45_3,11582.39,11582.39,0.0,168.15,11632.2,0.43,698.0,11582.39,11582.39,0.0,11582.39,0.0,,11584.0,0.01,101.0,25.0,11621.91,0.34
2n45_4,12152.93,12166.59,0.11,178.03,12303.2,1.24,943.0,12152.93,12152.93,0.0,12158.67,0.05,,12152.9,-0.00,523.0,350.0,12155.0,0.02
2n45_5,12805.13,12929.39,0.97,174.28,13010.1,1.60,940.0,12805.13,12864.15,0.46,12809.25,0.03,,12805.1,-0.00,450.0,247.0,12805.56,0.0
3n45_2,11926.76,12024.98,0.82,172.58,11926.8,0.00,230.0,11926.76,11926.76,0.0,11926.76,0.0,,11926.8,0.00,86.0,28.0,11926.8,0.0
3n45_3,12088.5,12088.58,0.00,205.18,12088.5,0.0,243.0,12088.54,12088.54,0.00,12088.54,0.00,,12088.5,0.0,153.0,28.0,12088.5,0.0
3n45_4,12370.2,12394.18,0.19,218.9,12370.2,0.0,672.0,12370.24,12370.24,0.00,12370.24,0.00,,12370.2,0.0,181.0,25.0,12370.2,0.0
3n45_5,12649.28,12692.88,0.34,210.44,12688.8,0.31,871.0,12649.28,12649.28,0.0,12683.84,0.27,,12649.3,0.00,158.0,63.0,12649.3,0.0
4n45_2,11395.09,11488.69,0.82,171.11,11494.9,0.88,546.0,11395.09,11395.09,0.0,11395.09,0.0,,11395.1,0.00,191.0,44.0,11395.1,0.0
4n45_3,11838.09,11838.09,0.0,143.75,12120.8,2.39,766.0,11838.33,11838.33,0.0,11838.33,0.0,,11838.3,0.00,295.0,125.0,11838.82,0.01
4n45_4,12392.09,12392.09,0.0,193.23,12713.7,2.60,904.0,12392.67,12392.67,0.0,12677.54,2.3,,12393.5,0.01,131.0,30.0,12402.02,0.08
4n45_5,12987.03,13044.99,0.45,191.14,13303.4,2.44,938.0,12987.03,13066.74,0.61,13204.82,1.68,,12985.8,-0.01,419.0,308.0,12987.92,0.01
5n45_2,11034.53,11040.65,0.06,175.0,11060.5,0.24,439.0,11034.53,11034.53,0.0,11034.53,0.0,,11034.5,-0.00,157.0,23.0,11034.5,0.0
5n45_3,11254.05,11255.25,0.01,176.66,11445.1,1.70,486.0,11254.05,11254.05,0.0,11308.99,0.49,,11254.0,-0.00,176.0,25.0,11254.0,0.0
5n45_4,11537.63,11574.85,0.32,190.21,11569.6,0.28,661.0,11537.63,11537.63,0.0,11565.38,0.24,,11537.6,-0.00,245.0,144.0,11538.16,0.0
5n45_5,11728.25,11728.25,0.0,174.32,11792.4,0.55,801.0,11728.25,11728.25,0.0,11764.21,0.31,,11728.2,-0.00,600.0,333.0,11729.67,0.01
1n50_2,12128.32,12153.28,0.21,230.99,12165.5,0.31,952.0,12128.32,12128.32,0.0,12128.32,0.0,,12128.3,-0.00,235.0,68.0,12128.34,0.0
1n50_3,12763.28,12836.28,0.57,241.65,12855.7,0.72,1182.0,12763.28,12763.28,0.0,12763.28,0.0,,12763.3,0.00,284.0,177.0,12763.49,0.0
1n50_4,13397.98,13411.68,0.1,237.16,13633.1,1.75,928.0,13397.98,13397.98,0.0,13421.58,0.18,,13398.0,0.00,180.0,48.0,13398.64,0.0
1n50_5,14048.2,14048.78,0.00,239.6,14616.8,4.0,1048.0,14048.2,14337.38,2.06,14060.24,0.09,,14048.2,0.0,975.0,684.0,14060.06,0.08
2n50_2,12434.02,12434.02,0.0,267.78,12497.2,0.51,127.0,12434.3,12434.3,0.00,12434.3,0.00,,12434.3,0.00,299.0,299.0,12434.8,0.01
2n50_3,13118.32,13118.32,0.0,229.82,13251.3,1.01,928.0,13118.66,13118.66,0.0,13212.82,0.72,,13118.7,0.00,237.0,144.0,13120.15,0.01
2n50_4,13732.5,13785.32,0.38,235.1,13923.3,1.4,1010.0,13732.5,13732.5,0.0,13749.4,0.1,,13732.5,0.0,391.0,172.0,13751.51,0.14
2n50_5,14300.02,14310.72,0.07,219.19,14670.2,2.59,1419.0,14300.02,14411.54,0.78,14300.02,0.0,,14300.0,-0.00,229.0,98.0,14302.15,0.01
3n50_2,12482.26,12546.61,0.52,174.24,12498.8,0.13,758.0,12482.26,12495.08,0.1,12482.26,0.0,,12482.3,0.00,153.0,75.0,12587.3,0.84
3n50_3,12902.06,12934.81,0.25,265.34,13182.6,2.17,1747.0,12902.06,12902.06,0.0,13090.41,1.46,,12902.1,0.00,135.0,36.0,12903.23,0.01
3n50_4,13281.32,13374.51,0.7,294.24,13636.5,2.67,1378.0,13281.32,13361.98,0.61,13296.8,0.12,,13281.8,0.00,302.0,195.0,13283.27,0.01
3n50_5,13805.96,13874.51,0.5,275.45,14011.7,1.49,3411.0,13805.96,13819.71,0.1,13845.57,0.29,,13799.0,-0.05,713.0,439.0,13805.45,0.0
4n50_2,13384.85,13562.73,1.33,152.89,13384.9,0.00,79.0,13384.85,13384.85,0.0,13384.85,0.0,,13384.9,0.00,114.0,42.0,13384.9,0.0
4n50_3,14011.13,14011.13,0.0,202.43,14025.3,0.10,1065.0,14011.35,14011.35,0.0,14011.35,0.0,,14012.4,0.01,155.0,61.0,14137.4,0.9
4n50_4,14679.91,14687.23,0.05,182.14,14894.3,1.46,1136.0,14679.91,14679.91,0.0,14687.05,0.05,,14687.4,0.05,357.0,143.0,14751.21,0.49
4n50_5,15386.87,15423.53,0.24,191.48,15533.1,0.95,1262.0,15386.87,15506.35,0.78,15386.87,0.0,,15389.4,0.02,354.0,228.0,15412.75,0.17
5n50_2,12818.18,12947.85,1.01,216.47,12874.1,0.44,1340.0,12818.18,12818.18,0.0,12822.18,0.03,,12818.2,0.00,215.0,122.0,12837.3,0.15
5n50_3,13327.57,13420.75,0.7,284.79,13374.4,0.35,1360.0,13327.57,13365.58,0.29,13327.57,0.0,,13327.6,0.00,403.0,208.0,13380.4,0.40
5n50_4,14035.61,14054.35,0.13,284.91,14238.3,1.44,993.0,14035.61,14054.79,0.14,14035.61,0.0,,13985.6,-0.36,1213.0,1061.0,14021.7,-0.10
5n50_5,14486.05,14486.05,0.0,216.43,14589.3,0.71,1352.0,14486.24,14696.17,1.45,14486.24,0.0,,14486.2,0.00,625.0,349.0,14688.2,1.40
