"CO=HC, H=6",,\rho=50,,,\rho=75,,,\rho=100,,,\rho=300,,
Instance,Veh,sHGS,tHGS,BST,sHGS,tHGS,BST,sHGS,tHGS,BST,sHGS,tHGS,BST
5n50_1,2,26987.9,214.0,129.0,27327.7,299.0,229.0,26979.4,393.0,318.0,26974.0,353.0,276.0
5n50_2,3,28658.4,521.0,420.0,29230.1,331.0,236.0,28736.0,334.0,230.0,28731.7,402.0,301.0
5n50_3,4,30566.7,891.0,748.0,30869.7,467.0,369.0,30507.3,733.0,614.0,30590.4,470.0,338.0
5n50_4,5,32355.3,508.0,364.0,32658.1,702.0,571.0,32466.7,568.0,405.0,32507.8,483.0,324.0
5n100_1,2,51623.8,1171.0,1022.0,51806.7,733.0,557.0,51567.8,917.0,794.0,51681.9,542.0,443.0
5n100_2,3,52293.7,1026.0,888.0,52389.9,1079.0,875.0,52292.2,1088.0,970.0,52295.3,892.0,768.0
5n100_3,4,53276.6,1415.0,1254.0,53722.1,1850.0,1552.0,53289.7,1089.0,912.0,53385.0,1106.0,958.0
5n100_4,5,54667.9,1615.0,1368.0,55073.4,1748.0,1369.0,54577.9,1494.0,1167.0,54598.9,1291.0,1059.0
5n200_1,2,95440.1,2122.0,1858.0,95898.6,2313.0,1622.0,95469.0,3849.0,3573.0,95459.4,2400.0,1876.6
5n200_2,3,96321.0,2400.0,2086.1,96726.5,2400.0,1682.1,96396.7,3512.0,3228.0,96378.2,2400.0,2156.6
5n200_3,4,97784.1,2400.0,2097.3,97919.5,2400.0,1871.7,97677.6,3971.0,3596.0,97800.1,2400.0,2048.7
5n200_4,5,99432.9,2400.0,2012.0,99713.3,2400.0,1630.5,99248.6,4440.0,3955.0,99210.5,2400.0,2079.9
6n50_1,2,29762.2,342.0,263.0,29841.7,583.0,518.0,29673.4,495.0,415.0,29724.5,376.0,303.0
6n50_2,3,31851.8,509.0,420.0,32040.8,809.0,725.0,31749.7,357.0,265.0,31808.7,669.0,589.0
6n50_3,4,33798.8,534.0,413.0,34454.8,397.0,300.0,33806.7,542.0,432.0,33829.6,525.0,409.0
6n50_4,5,35660.5,873.0,743.0,36102.5,644.0,505.0,35701.2,766.0,624.0,35606.7,1018.0,860.0
6n100_1,2,49584.7,631.0,528.0,49704.2,826.0,636.0,49631.7,839.0,669.0,49654.8,565.0,466.0
6n100_2,3,51029.7,1746.0,1582.0,51715.9,909.0,670.0,51215.7,1013.0,845.0,51106.8,767.0,596.0
6n100_3,4,52867.0,1096.0,858.0,53551.8,1754.0,1390.0,52938.7,1514.0,1337.0,52753.5,1708.0,1502.0
6n100_4,5,55046.7,1610.0,1336.0,55505.4,1416.0,1054.0,54978.8,1150.0,885.0,54890.3,1622.0,1341.0
6n200_1,2,95546.1,2400.0,2165.4,96018.7,2400.0,1745.6,95370.3,3510.0,3150.0,95380.7,2400.0,2175.5
6n200_2,3,96496.0,2400.0,2201.7,96697.0,2400.0,1981.7,96520.2,2861.0,2518.0,96432.8,2400.0,2170.9
6n200_3,4,97679.1,2340.0,1920.0,97888.2,2400.0,1806.1,97715.2,3681.0,3320.0,97729.9,2400.0,2062.4
6n200_4,5,99364.6,2400.0,2137.0,100247.0,2400.0,1569.3,99514.0,3527.0,3008.0,99371.2,2400.0,2179.6
7n50_1,2,28061.0,263.0,195.0,28861.5,384.0,314.0,28048.0,248.0,178.0,28054.3,320.0,250.0
7n50_2,3,30017.0,572.0,477.0,30144.0,487.0,399.0,30043.8,783.0,697.0,30051.5,497.0,421.0
7n50_3,4,32070.6,598.0,480.0,32784.0,428.0,334.0,32129.7,560.0,437.0,32249.2,417.0,292.0
7n50_4,5,34286.3,625.0,458.0,34706.6,603.0,480.0,34256.6,603.0,452.0,34401.7,667.0,503.0
7n100_1,2,49906.7,1144.0,1016.0,50033.1,1364.0,1163.0,49899.9,1624.0,1495.0,49908.5,1291.0,1166.0
7n100_2,3,50771.3,1073.0,935.0,50959.1,1283.0,1033.0,50773.2,1165.0,1028.0,50765.9,1028.0,883.0
7n100_3,4,52207.5,937.0,747.0,52577.4,1257.0,928.0,52277.6,1146.0,961.0,52293.2,1206.0,1010.0
7n100_4,5,53665.8,1524.0,1279.0,54041.5,1028.0,692.0,53681.7,1165.0,938.0,53736.1,2074.0,1828.0
7n200_1,2,85929.9,2400.0,2174.8,86494.9,2400.0,1763.3,85981.4,2843.0,2594.0,85940.2,1867.0,1622.0
7n200_2,3,86821.6,2400.0,2118.6,87045.4,2400.0,1926.9,86863.2,3580.0,3273.0,86728.3,2400.0,2216.3
7n200_3,4,87892.6,2400.0,2209.2,88091.5,2400.0,1769.2,87814.4,3584.0,3207.0,87772.1,2400.0,2178.3
7n200_4,5,89329.1,2400.0,2143.4,89729.6,2400.0,1707.7,89267.6,5274.0,4695.0,89311.5,2400.0,2145.3
8n50_1,2,25362.6,332.0,249.0,25523.0,316.0,250.0,25293.7,326.0,256.0,25270.3,377.0,302.0
8n50_2,3,27539.2,863.0,748.0,27919.4,415.0,324.0,27531.7,393.0,304.0,27563.4,477.0,368.0
8n50_3,4,29948.7,723.0,584.0,30269.9,432.0,339.0,29912.2,342.0,224.0,29936.0,457.0,338.0
8n50_4,5,32750.3,759.0,603.0,33279.0,798.0,675.0,32819.7,543.0,396.0,32705.9,940.0,818.0
8n100_1,2,49862.8,1026.0,923.0,49712.5,859.0,689.0,49708.9,736.0,634.0,49703.5,886.0,795.0
8n100_2,3,51276.9,716.0,572.0,51719.9,890.0,637.0,51201.5,770.0,604.0,51026.9,1659.0,1512.0
8n100_3,4,52987.7,1767.0,1586.0,53086.1,1224.0,844.0,53014.9,1008.0,804.0,53036.7,1114.0,929.0
8n100_4,5,55100.3,1307.0,1014.0,55626.0,1521.0,1156.0,55107.8,1414.0,1164.0,55057.0,899.0,628.0
8n200_1,2,89476.1,2400.0,2214.1,89774.9,2400.0,1872.8,89634.2,2753.0,2495.0,89606.8,1805.0,1560.0
8n200_2,3,90374.5,2400.0,2112.2,90512.7,2400.0,1783.6,90254.6,2254.0,1909.0,90185.3,2400.0,1763.8
8n200_3,4,91171.5,2400.0,2105.8,91549.3,2400.0,1506.2,91173.7,5296.0,4296.0,91227.1,2400.0,2096.6
8n200_4,5,92224.8,2400.0,2163.8,92254.8,2400.0,1817.5,92177.9,4691.0,4247.0,92182.1,2400.0,1818.9
9n50_1,2,28035.1,304.0,241.0,28637.3,254.0,195.0,28057.5,373.0,305.0,28028.4,401.0,342.0
9n50_2,3,29657.0,319.0,236.0,30039.0,346.0,267.0,29649.2,555.0,470.0,29649.8,494.0,418.0
9n50_3,4,31197.2,619.0,509.0,31624.0,631.0,535.0,31175.5,722.0,614.0,31269.6,421.0,307.0
9n50_4,5,33040.4,582.0,444.0,33467.3,554.0,433.0,33066.1,492.0,356.0,33059.1,682.0,540.0
9n100_1,2,52336.4,1147.0,1008.0,52922.6,1115.0,913.0,52638.9,536.0,435.0,52370.7,894.0,749.0
9n100_2,3,54088.3,1171.0,993.0,54770.1,1079.0,857.0,54065.5,996.0,825.0,54111.7,875.0,701.0
9n100_3,4,56064.7,1131.0,889.0,56491.9,2268.0,1907.0,55911.9,1513.0,1286.0,56176.9,1511.0,1300.0
