Detailed results on small-scaled data with CO=LC and T=3,,,,,,,,,,,,,,,,,,,
Instance,Best,sCCJ,Gap,tCCJ,sKS,Gap,tKS,BestDIMACS,sALNS,Gap,sBCHeu,Gap,,sHGS,Gapb,tHGS,BST,CostAvg,Gapavg
4n10_5,4096.78,4385.04,7.04,4.33,4096.78,0.0,125.0,4096.78,4096.78,0.0,4096.78,0.0,,4096.78,0.0,86.0,86.0,4096.78,0.0
5n10_2,2076.4,2219.63,6.90,4.38,2076.4,0.0,6.0,2076.4,2076.4,0.0,2076.4,0.0,,2076.4,0.0,23.0,23.0,2076.4,0.0
5n10_3,2378.33,2378.33,0.0,3.53,2378.33,0.0,124.0,2378.33,2378.33,0.0,2378.33,0.0,,2378.33,0.0,33.0,33.0,2378.33,0.0
5n10_4,2789.31,2848.11,2.11,3.49,2789.31,0.0,118.0,2789.31,2789.31,0.0,2789.31,0.0,,2789.31,0.0,52.0,52.0,2789.31,0.0
5n10_5,2911.11,3145.41,8.05,3.55,2911.11,0.0,117.0,2911.11,2911.11,0.0,2911.11,0.0,,2911.11,0.0,52.0,52.0,2911.11,0.0
1n15_2,2203.35,2203.35,0.0,11.85,2203.37,0.00,6.0,2203.37,2203.37,0.00,2203.37,0.00,,2203.37,0.0,40.0,40.0,2203.37,0.0
1n15_3,2690.08,2704.45,0.53,11.11,2690.08,0.0,87.0,2690.08,2690.08,0.0,2690.08,0.0,,2690.08,0.0,48.0,48.0,2690.08,0.0
1n15_4,3072.79,3097.76,0.81,10.95,3072.79,0.0,112.0,3072.79,3072.79,0.0,3072.79,0.0,,3072.79,0.0,66.0,66.0,3072.79,0.0
1n15_5,3487.19,3489.68,0.07,9.32,3487.19,0.0,106.0,3487.19,3487.19,0.0,3487.19,0.0,,3487.19,0.0,83.0,83.0,3487.19,0.0
2n15_2,2461.87,2461.87,0.0,11.4,2461.89,0.00,83.0,2461.89,2461.89,0.00,2461.89,0.00,,2461.89,0.0,34.0,34.0,2461.89,0.0
2n15_3,2665.57,2789.57,4.65,10.1,2665.57,0.0,91.0,2665.57,2665.57,0.0,2665.57,0.0,,2665.57,0.0,39.0,39.0,2665.57,0.0
2n15_4,3304.41,3368.53,1.94,8.88,3304.41,0.0,128.0,3304.41,3304.41,0.0,3304.41,0.0,,3304.41,0.0,60.0,60.0,3304.41,0.0
2n15_5,3797.18,3954.46,4.14,9.08,3797.18,0.0,203.0,3797.18,3797.18,0.0,3797.18,0.0,,3797.18,0.0,87.0,87.0,3797.18,0.0
3n15_2,2691.71,2727.24,1.32,11.65,2691.71,0.0,124.0,2691.71,2691.71,0.0,2691.71,0.0,,2691.71,0.0,36.0,36.0,2691.71,0.0
3n15_3,2964.51,3144.34,6.07,13.18,2964.51,0.0,121.0,2964.51,2964.51,0.0,2964.51,0.0,,2964.51,0.0,40.0,40.0,2964.51,0.0
3n15_4,3649.05,3783.02,3.67,11.53,3649.05,0.0,136.0,3649.05,3649.05,0.0,3649.05,0.0,,3649.05,0.0,59.0,6.0,3649.15,0.0
3n15_5,4025.27,4222.53,4.90,7.77,4026.38,0.03,150.0,4025.27,4025.27,0.0,4025.27,0.0,,4025.27,0.0,95.0,35.0,4025.27,0.0
4n15_2,2437.72,2503.59,2.70,13.03,2437.72,0.0,107.0,2437.72,2437.72,0.0,2437.72,0.0,,2437.72,0.0,36.0,36.0,2437.72,0.0
4n15_3,2810.33,2810.87,0.02,11.76,2810.33,0.0,120.0,2810.33,2810.33,0.0,2810.33,0.0,,2810.33,0.0,43.0,43.0,2810.33,0.0
4n15_4,3124.19,3216.97,2.97,11.19,3124.19,0.0,115.0,3124.19,3124.19,0.0,3124.19,0.0,,3124.19,0.0,58.0,58.0,3124.19,0.0
4n15_5,3496.54,3740.73,6.98,7.86,3500.74,0.12,120.0,3496.54,3496.54,0.0,3496.54,0.0,,3496.54,0.0,77.0,77.0,3496.54,0.0
5n15_2,2529.78,2732.34,8.01,11.09,2529.78,0.0,111.0,2529.78,2529.78,0.0,2529.78,0.0,,2529.78,0.0,35.0,35.0,2529.78,0.0
5n15_3,3179.78,3179.78,0.0,8.83,3179.78,0.0,177.0,3179.78,3179.78,0.0,3179.78,0.0,,3179.78,0.0,52.0,52.0,3179.78,0.0
5n15_4,3590.26,3633.29,1.20,8.5,3649.46,1.65,160.0,3590.26,3590.26,0.0,3590.26,0.0,,3590.26,0.0,76.0,76.0,3590.26,0.0
5n15_5,4175.34,4251.07,1.81,7.53,4181.05,0.14,112.0,4175.34,4180.09,0.11,4180.09,0.11,,4175.34,0.0,95.0,95.0,4175.34,0.0
1n20_2,2792.02,2859.63,2.42,20.68,2792.02,0.0,109.0,2792.02,2792.02,0.0,2792.02,0.0,,2792.02,0.0,53.0,53.0,2792.02,0.0
1n20_3,3480.38,3481.42,0.03,19.12,3480.38,0.0,307.0,3480.38,3480.38,0.0,3480.38,0.0,,3480.38,0.0,69.0,69.0,3480.38,0.0
1n20_4,4033.44,4044.09,0.26,20.79,4044.12,0.26,375.0,4033.44,4033.44,0.0,4033.44,0.0,,4033.44,0.0,78.0,78.0,4033.44,0.0
1n20_5,4308.78,4512.24,4.72,19.59,4308.78,0.0,260.0,4308.78,4308.78,0.0,4308.78,0.0,,4308.78,0.0,101.0,101.0,4308.78,0.0
2n20_2,2535.04,2586.59,2.03,20.63,2535.04,0.0,105.0,2535.04,2535.04,0.0,2535.04,0.0,,2535.04,0.0,48.0,48.0,2564.22,1.15
2n20_3,2778.54,2799.99,0.77,18.54,2778.54,0.0,102.0,2778.54,2778.54,0.0,2778.54,0.0,,2778.54,0.0,59.0,59.0,2778.54,0.0
2n20_4,2998.11,3054.99,1.90,18.24,3005.1,0.23,134.0,2998.11,2998.11,0.0,2998.11,0.0,,2998.11,0.0,74.0,74.0,2998.11,0.0
2n20_5,3214.31,3331.6,3.65,22.61,3214.31,0.0,171.0,3214.31,3214.31,0.0,3214.31,0.0,,3214.31,0.0,77.0,26.0,3214.31,0.0
3n20_2,2681.93,2728.79,1.75,19.08,2681.93,0.0,109.0,2681.93,2681.93,0.0,2681.93,0.0,,2681.93,0.0,50.0,50.0,2681.93,0.0
3n20_3,2928.09,2984.79,1.94,19.75,2928.09,0.0,106.0,2928.09,2928.09,0.0,2928.09,0.0,,2928.09,0.0,44.0,44.0,2928.09,0.0
3n20_4,3508.79,3535.79,0.77,18.46,3508.79,0.0,149.0,3508.79,3508.79,0.0,3508.79,0.0,,3508.79,0.0,68.0,68.0,3508.79,0.0
3n20_5,3879.79,3879.79,0.0,19.52,3879.79,0.0,429.0,3879.79,3879.79,0.0,3879.79,0.0,,3879.79,0.0,52.0,2.0,3879.79,0.0
4n20_2,3455.87,3553.08,2.81,23.24,3471.87,0.46,180.0,3455.87,3455.87,0.0,3455.87,0.0,,3455.87,0.0,60.0,60.0,3455.88,0.0
4n20_3,3984.13,4047.93,1.60,23.29,4042.08,1.45,306.0,3984.13,3984.13,0.0,3984.13,0.0,,3984.13,0.0,79.0,79.0,3984.13,0.0
4n20_4,4669.02,4683.6,0.31,21.44,4709.7,0.87,444.0,4669.02,4669.02,0.0,4669.02,0.0,,4669.02,0.0,117.0,117.0,4669.03,0.0
4n20_5,5197.78,5313.53,2.23,15.57,5299.18,1.95,164.0,5197.78,5197.78,0.0,5204.46,0.13,,5197.78,0.0,122.0,122.0,5198.03,0.0
5n20_2,3273.17,3273.17,0.0,21.93,3273.17,0.0,95.0,3273.17,3273.17,0.0,3273.17,0.0,,3273.17,0.0,54.0,54.0,3273.17,0.0
5n20_3,3980.23,4234.39,6.39,23.43,3980.23,0.0,271.0,3980.23,3980.23,0.0,3980.23,0.0,,3980.23,0.0,76.0,76.0,3980.23,0.0
5n20_4,4623.61,4916.07,6.33,23.19,4623.61,0.0,304.0,4623.61,4623.61,0.0,4623.61,0.0,,4623.61,0.0,86.0,86.0,4623.61,0.0
5n20_5,5426.48,5599.38,3.19,20.87,5496.41,1.29,396.0,5426.48,5426.48,0.0,5426.48,0.0,,5426.48,0.0,126.0,126.0,5426.48,0.0
1n25_2,2987.53,3240.0,8.45,37.71,2987.53,0.0,80.0,2987.53,2987.53,0.0,2987.53,0.0,,2987.53,0.0,52.0,52.0,2987.53,0.0
1n25_3,3357.57,3522.88,4.92,628.333,3357.57,0.0,161.0,3357.57,3357.57,0.0,3357.57,0.0,,3357.77,0.01,131.0,131.0,3360.85,0.1
1n25_4,3803.92,3875.75,1.89,36.61,3878.19,1.95,553.0,3803.92,3803.92,0.0,3803.92,0.0,,3803.92,0.0,72.0,72.0,3803.92,0.0
1n25_5,3949.39,3992.93,1.10,26.66,3949.39,0.0,161.0,3949.39,3949.39,0.0,3949.39,0.0,,3949.39,0.0,100.0,100.0,3949.39,0.0
2n25_2,3340.59,3428.01,2.62,34.88,3340.59,0.0,282.0,3340.59,3340.59,0.0,3340.59,0.0,,3340.59,0.0,70.0,70.0,3340.59,0.0
2n25_3,3791.53,3805.88,0.38,30.26,3810.93,0.51,442.0,3791.53,3791.53,0.0,3791.53,0.0,,3791.53,0.0,88.0,88.0,3791.53,0.0
2n25_4,4340.79,4435.07,2.17,32.59,4417.68,1.77,771.0,4340.79,4359.47,0.43,4340.79,0.0,,4340.79,0.0,107.0,107.0,4354.25,0.31
2n25_5,4849.28,5040.03,3.93,37.23,4849.28,0.0,667.0,4849.28,4849.28,0.0,4849.28,0.0,,4849.28,0.0,53.0,5.0,4849.28,0.0
3n25_2,3292.91,3374.3,2.47,32.3,3292.91,0.0,98.0,3292.91,3292.91,0.0,3292.91,0.0,,3292.91,0.0,55.0,55.0,3292.91,0.0
3n25_3,3889.69,3938.28,1.25,33.86,3889.69,0.0,107.0,3889.69,3889.69,0.0,3889.69,0.0,,3889.69,0.0,68.0,68.0,3889.69,0.0
