Detailed results on largel-scaled data with CO=LC and T=6,,,,,,,,,,,,,,,,,,
Instance,Best,sCCJ,Gap,tCCJ,sKS,Gap,tKS,DIMACS,sALNS,Gap,sBCHeu,Gap,,sHGS,Gap,tHGS,CostAvg,GapAvg
9n50_5,15520.37,16217.29,4.49,394.53,16476.7,6.16,1897.0,15520.37,15708.55,1.21,15520.37,0.0,,15528.2,0.05,6025.0,15631.52,0.72
10n50_2,10499.72,11043.79,5.18,302.66,11350.7,8.10,53.0,10499.72,10515.89,0.15,10537.46,0.36,,10461.9,-0.36,3118.0,10476.29,-0.22
10n50_3,12067.77,12772.09,5.84,354.21,13477.5,11.68,58.0,12067.77,12557.74,4.06,12067.77,0.0,,11998.8,-0.57,5243.0,12019.4,-0.4
10n50_4,13824.66,14525.59,5.07,443.73,14563.3,5.34,5125.0,13824.66,13996.76,1.24,13824.66,0.0,,13840.8,0.12,5418.0,13922.96,0.71
10n50_5,15658.1,16493.49,5.34,375.37,16424.8,4.9,3659.0,15658.1,16000.6,2.2,15658.1,0.0,,15617.6,-0.26,7200.0,15715.88,0.37
1n100_2,15509.4,15841.13,2.14,1839.76,17112.3,10.3,70.0,15509.4,15902.21,2.53,15509.4,0.0,,15322.0,-1.21,6787.0,15338.42,-1.1
1n100_3,16446.44,16949.33,3.06,1559.9,17166.4,4.38,344.0,16446.44,16743.6,1.81,16446.44,0.0,,16268.2,-1.08,7029.0,16312.98,-0.81
1n100_4,17290.12,18187.73,5.19,1784.97,19230.3,11.22,3107.0,17290.12,17699.41,2.37,17290.12,0.0,,17316.1,0.15,7200.0,17396.14,0.61
1n100_5,18651.47,19538.33,4.75,1289.47,21202.7,13.68,3157.0,18651.47,19035.96,2.06,18651.47,0.0,,18650.8,0.0,7200.0,18773.26,0.65
2n100_2,14393.66,14987.49,4.13,1819.34,16152.2,12.22,53.0,14393.66,14858.31,3.23,14393.66,0.0,,14273.2,-0.84,7142.0,14301.48,-0.64
2n100_3,15187.82,16077.79,5.86,1425.4,16650.0,9.63,76.0,15187.82,16292.39,7.27,15187.82,0.0,,15095.7,-0.61,7200.0,15128.32,-0.39
2n100_4,16038.98,16900.39,5.37,1517.45,17501.6,9.12,2650.0,16038.98,16302.61,1.64,16038.98,0.0,,16060.9,0.14,6677.0,16138.52,0.62
2n100_5,17352.96,17921.69,3.28,2119.97,19252.0,10.94,103.0,17352.96,17352.96,0.00,17423.28,0.41,,17168.9,-1.06,7200.0,17314.82,-0.22
3n100_2,15503.45,16119.14,3.97,1855.01,16874.2,8.84,56.0,15503.45,15759.43,1.65,15516.24,0.08,,15296.4,-1.34,5626.0,15336.07,-1.08
3n100_3,16695.31,17667.74,5.82,2165.4,17721.8,6.15,1147.0,16695.31,16841.35,0.87,16695.31,0.0,,16529.6,-0.99,8344.0,16592.84,-0.61
3n100_4,18346.97,19386.64,5.67,2010.39,20667.5,12.65,349.0,18346.97,19241.9,4.87,18346.97,0.0,,18133.2,-1.17,10345.0,18352.62,0.03
3n100_5,19882.9,20611.34,3.66,1225.35,21529.9,8.3,7199.0,19882.9,20406.19,2.63,19882.9,0.0,,19815.6,-0.34,11916.0,20049.18,0.84
4n100_2,14316.68,15096.05,5.44,1509.08,15436.8,7.82,129.0,14316.68,15049.25,5.12,14316.68,0.0,,14305.9,-0.08,5443.0,14317.1,0.0
4n100_3,14985.66,15826.05,5.61,1271.99,16740.4,11.71,131.0,14985.66,15381.65,2.64,14985.66,0.0,,14889.0,-0.65,6536.0,14918.46,-0.45
4n100_4,15800.7,16476.05,4.27,1517.17,16748.0,6.0,6554.0,15800.7,15979.77,1.13,15800.7,0.0,,15681.9,-0.75,8089.0,15744.08,-0.36
4n100_5,16723.87,17400.65,4.05,1676.22,17533.1,4.84,7242.0,16723.87,17118.93,2.36,16723.87,0.0,,16635.5,-0.53,9694.0,16690.26,-0.2
5n100_2,14999.73,15987.74,6.59,1925.26,16220.3,8.15,51.0,14999.73,15224.97,1.50,15013.02,0.09,,14947.3,-0.35,3272.0,14992.08,-0.05
5n100_3,15880.09,16474.64,3.74,1373.33,17049.2,7.36,2437.0,15880.09,15880.09,0.00,15880.73,0.0,,15634.5,-1.55,5326.0,15689.54,-1.2
5n100_4,16828.4,17341.94,3.05,1351.35,18000.4,7.0,670.0,16828.4,17176.02,2.07,16828.4,0.0,,16559.5,-1.6,8362.0,16622.38,-1.22
5n100_5,17803.56,18409.54,3.40,1588.73,19092.0,7.24,1312.0,17803.56,18230.74,2.40,17803.56,0.0,,17632.4,-0.96,6709.0,17749.38,-0.3
6n100_2,15386.45,15722.05,2.18,2427.99,16715.6,8.64,145.0,15386.45,16162.27,5.04,15386.45,0.0,,15162.9,-1.45,7430.0,15194.52,-1.25
6n100_3,16813.69,17821.65,5.99,2067.51,17885.6,6.38,83.0,16813.69,16910.6,0.57,16813.69,0.0,,16618.7,-1.16,9518.0,16771.86,-0.25
6n100_4,18399.99,18655.25,1.39,1216.78,20821.0,13.16,308.0,18399.99,18546.24,0.79,18399.99,0.0,,18280.0,-0.65,7905.0,18413.96,0.08
6n100_5,20125.51,21222.15,5.45,1729.12,22254.5,10.58,6851.0,20125.51,20548.64,2.10,20125.51,0.0,,20193.7,0.34,11690.0,20440.14,1.56
7n100_2,15112.13,15931.17,5.42,1549.36,17554.5,16.16,59.0,15112.13,15171.45,0.39,15112.13,0.0,,15017.7,-0.62,6624.0,15029.94,-0.54
7n100_3,15981.6,16765.27,4.90,1159.93,16569.0,3.7,892.0,15981.6,16306.87,2.04,15981.6,0.0,,15899.2,-0.52,7200.0,15926.52,-0.34
7n100_4,17213.07,17684.77,2.74,2718.93,18603.1,8.08,7035.0,17213.07,17578.95,2.13,17213.07,0.0,,17137.5,-0.44,7200.0,17176.96,-0.21
7n100_5,18431.89,19018.37,3.18,2514.69,19676.7,6.75,6573.0,18431.89,18857.8,2.31,18431.89,0.0,,18508.1,0.41,7200.0,18585.28,0.83
8n100_2,15347.85,15792.67,2.90,2941.97,16589.1,8.09,100.0,15347.85,15576.7,1.49,15347.85,0.0,,15216.5,-0.86,5894.0,15251.98,-0.62
8n100_3,16745.58,18135.57,8.30,2407.07,17484.3,4.41,2565.0,16745.58,16745.58,0.00,16843.05,0.58,,16649.2,-0.58,6206.0,16731.86,-0.08
8n100_4,18294.67,19052.47,4.14,1371.28,20325.6,11.10,1053.0,18294.67,18653.85,1.96,18294.67,0.0,,18424.1,0.71,5074.0,18526.74,1.27
8n100_5,19994.27,22059.27,10.33,2394.63,21727.1,8.67,5062.0,19994.27,20645.97,3.26,19994.27,0.0,,20440.7,2.23,7200.0,20562.14,2.84
9n100_2,15540.21,16336.62,5.12,1968.4,17829.0,14.73,43.0,15540.21,15780.22,1.54,15900.68,2.32,,15438.4,-0.66,5860.0,15453.26,-0.56
9n100_3,17230.94,17988.52,4.40,1565.85,18376.3,6.65,2906.0,17230.94,17230.94,0.00,17277.24,0.27,,17017.3,-1.24,5371.0,17088.0,-0.83
9n100_4,19180.86,19642.42,2.41,2309.17,21528.4,12.24,74.0,19180.86,19741.46,2.92,19180.86,0.0,,18885.7,-1.54,7200.0,18970.58,-1.1
9n100_5,20949.72,21981.52,4.93,1943.82,23025.5,9.91,7085.0,20949.72,21337.9,1.85,20949.72,0.0,,21004.5,0.26,7200.0,21122.16,0.82
10n100_2,15057.55,15870.38,5.40,2070.83,15834.7,5.16,131.0,15057.55,15669.51,4.06,15057.55,0.0,,14947.9,-0.73,4647.0,15006.78,-0.34
